蔵前果林,蒼穹のファフナー（1期）
西尾里奈,蒼穹のファフナー
高町美由希,魔法少女リリカルなのはシリーズ
トビ,ノエイン もうひとりの君へ
レム,ボボボーボ・ボーボボ
長瀬楓,魔法先生ネギま!
白鳥隆士,まほらば
綾崎ハヤテ,ハヤテのごとく!
アニュー・リターナー,機動戦士ガンダム00
ミサキ,ガンダムビルドファイターズ
野上葵,絶対可憐チルドレン
大空アコ,怪談レストラン
染谷まこ,咲-Saki-
泉・ローラースルー・じゅん子,バトルスピリッツ覇王
イアン,最強銀河 究極ゼロ ～バトルスピリッツ～
ガルボ,最強銀河 究極ゼロ ～バトルスピリッツ～
嵐山小夜子,夏のあらし!
住吉加奈子,にゃんこい!
渡瀬めぐる,初恋限定。
陽ノ本アカリ,デジモンクロスウォーズ
メルヴァモン,デジモンクロスウォーズ悪のデスジェネラルと七つの王国
オポッサモン/チョ・ハッカイモン,デジモンクロスウォーズ～時を駆ける少年ハンターたち～
水島アヤ,ハートキャッチプリキュア!
日野げんき,スマイルプリキュア!
小鳥遊一枝,WORKING!!
オリオトライ・真喜子,境界線上のホライゾン
鬼塚一愛/ヒメコ,SKETDANCE
ブーフ,Suzy's Zoo だいすき! ウィッツィー
ナーガ,べるぜバブ
西垣奈々,ゆるゆり
堂珍光太郎,よんでますよ、アザゼルさん。
5代目 高橋みなみ,AKB0048
古城アスカ,ダンボール戦機W
黒崎リョーコ,ケメコデラックス!
影縫余弦,偽物語/物語シリーズ
木津多祢,さよなら絶望先生(OVA)
ハルカのアゲハント（進化前も含む）,ポケットモンスター アドバンスジェネレーション
シュレディンガー准尉,HELLSING
エスプレッソ,シナモロール
ニケ,ブレイクブレイド
フウ,NARUTO
ビチクソ丸,銀魂
ポン太,遊戯王ZEXALⅡ
柩小夜,トリアージX
鳴子章吉(少年期),弱虫ペダル
クイーン,デス・パレード
フリー・デラホーヤ,ベイブレードバースト神
シャンツァ,ドラゴンボール超
