越前リョーマ,テニスの王子様
昆川純平,テニスの王子様
白凰,デュエル・マスターズ
ツルギ・タテワキ,バトルスピリッツソードアイズ
ウインナー,コロッケ!
シューゴ,.hack//黄昏の腕輪伝説
トーマ,ファンタジックチルドレン
ミケル,マーメイドメロディーぴちぴちピッチ ピュア
晃・E・フェラーリ,ARIA
カムシン・ネブハーウ,灼眼のシャナ
イオン・フォルトゥナ,トリニティ・ブラッド
シェイド,ふしぎ星の☆ふたご姫
雪広あやか,魔法先生ネギま!
青柳立夏,LOVELESS
コーネリア・リ・ブリタニア,コードギアスシリーズ
ヒロキ,サルゲッチュ
玄武,少年陰陽師
ウシロ/宇白順,ぼくらの
ミスティ・ローラ,遊戯王5D's
ロージー,戦場のヴァルキュリア（TVアニメ版）
早園瑠佳,ヴァンパイア騎士
オズ=ベザリウス,Pandora Hearts
コハク,ジュエルペットシリーズ
奈古さん,男子高校生の日常
名護,男子高校生の日常
シンゴ,無人惑星サヴァイヴ
リボルモン,デジモンクロスウォーズ
カナテ,アラタカンガタリ
豊島ひでかず,スマイルプリキュア
ユン,暁のヨナ
天王はるか/セーラーウラヌス,美少女戦士セーラームーンCrystal
海棠零,SUPERLOVERS
三虎（少年時代）,トリコ
ジャンヌ・ダルク,ドリフターズ
ジュリオ（ピカリオ）,キラキラ☆プリキュアアラモード
審神者,活撃/刀剣乱舞
イエローダイヤモンド,宝石の国
"",""
"",""
