天王洲神楽,SPEEDGRAPHER
三島燐子,夢使い
おぬい,大江戸ロケット
王留美,機動戦士ガンダム00
鏡黒,こどものじかん
原田小夏,バンブーブレード
黒岡野しじま,隠の王
ラブリっち/あみあみっち,たまごっち!
天野まどか,メタルファイトベイブレード
静水久,おまもりひまり
杏,はなまる幼稚園
直政,境界線上のホライゾン
矢沢リコ,ダンボール戦機
イヌカシ,NO.6
魅杏,ドリームクラブ
ミキ,密室のサクリファイス
葉月・フェラーリ,ガリレイドンナ
ティア・ホワイト,ソーサリーブレイド
穂樽夏菜,ウィザード・バリスターズ
犬山ルミ,ワンワンセレプーそれゆけ徹之進
群青早雲,バトルスピリッツ烈火魂
スミオ・ネジヅカ,魔法使いと黒猫のウィズ
エントマ・ヴァシリッサ・ゼータ,オーバーロード(アニメ)
芙来田伊吹,ガールフレンド(仮)
ミルフィ(2代目)※,ポケットモンスターXY
リーリエ,ポケットモンスター サン&ムーン
耳郎響香,僕のヒーローアカデミア
赤のアサシン,Fate/Apocrypha
黒狐,あかやあかしやあやかしの
サリュ,ルートダブル-Before Crime After Days-
サイニャン,クイーンズブレイドリベリオン
リオネラ・エインセ,ロロナのアトリエ
劉備玄徳,一騎当千
ピコタ,ヒミツのここたま
シシ,バトルスピリッツダブルドライブ
茂上卯咲,バトルスピリッツダブルドライブ
セイリュウ,新幹線変形ロボ_シンカリオン_THE_ANIMATION
オルバ,マギ
加古川ランマ,神バディファイト
アルシェ・イーブ・リイル・フルト,オーバーロード(アニメ)
