本厚木洋子,青い花
アニア・フォルチュナ・ソメシェル・ミク・クラウゼンブルヒ,アスラクライン
奥田愛美,暗殺教室
柊ノア,えむえむっ!
明智光秀,織田信奈の野望
キュピ（右下）,おとぎ銃士赤 ずきん
グレーテル/静森えりか,おとぎ銃士赤 ずきん
クリストファー・ロウ,カードファイト!!ヴァンガード
ツバメ,カーニヴァル
ビビット,かみさまみならい ヒミツのここたま
真紅果林,かりん
和泉マミ,喰霊-零-
天野卯兎美,機神大戦ギガンティック・フォーミュラ
相田日紗子,君と僕。
南九条あやめ,銀の匙 Silver Spoon
藍猫,黒執事
一条らんこ,GO!プリンセスプリキュア
佐野杏樹,極上!!めちゃモテ委員長
氷堂美智留,冴えない彼女の育てかた
左王子蘭子,さんかれあ
真城りま,しゅごキャラ!
ペン子さん,しろくまカフェ
アメリー・プランシャール,ストライクウィッチーズ劇場版
萩村スズ,生徒会役員共
蜜羽,セキレイ
サクヤ,ソードアート・オンライン
ラジエル,ダンタリアンの書架
アニ・イナコ,DAME×PRINCE
西連寺春菜,To LOVEる -とらぶる-
祖父江ひかる,ネットゴーストPIPOPA
見吉香耶,バクマン。
瀬川泉,ハヤテのごとく!
毒島華花,武装錬金
ザック,プラスティック・メモリーズ
姫神コダマ,マケン姫っ!
鈴仙・優曇華院・イナバ,夢想夏郷〜A Summer Day's Dream〜
ミストルティン,夢喰いメリー
