プリュイ,愛天使伝説ウェディングピーチ
ギーヴ,アルスラーン戦記（90年代版）
池谷浩一郎,頭文字D
ダ・サイダー,NG騎士ラムネ&40
ジャック・レビン,F-ZERO ファルコン伝説
アルーミ,ガイストクラッシャー
アーバ・リント,機動戦士ガンダム00
ジュドー・アーシタ,機動戦士ガンダムΖΖ
ゲーツ・キャパ,機動戦士Ζガンダム
大覚屋師真,銀河戦国群雄伝ライ
ゾルル兵長,ケロロ軍曹
冴島俊行,GTO
武田一基,史上最強の弟子ケンイチ
オソダシ仮面,ジャンケンマン
牡牛座のハービンジャー,聖闘士星矢Ω
ホラーマン(2代目),それいけ!アンパンマン
藤原忍,超獣機神ダンクーガ
ザミエールモン,デジモンクロスウォーズ
シドウ,DEATHNOTE
俵文七,天上天下
ハーメル,ハーメルンのバイオリン弾き（映画版）
ヨキ,鋼の錬金術師/鋼の錬金術師FULLMETALALCHEMIST
クラピカの師匠（イズナビ）,HUNTER×HUNTER（1999年版）
スタースクリーム,ビーストウォーズ 超生命体トランスフォーマー
セイバーバック,ビーストウォーズネオ超生命体トランスフォーマー
トウガン,ポケットモンスター ダイヤモンド&パール
国宝憲一,燃える!お兄さん
疾風のライガー,モンスターファーム〜円盤石の秘密〜
ジャンゴ,ONEPIECE
フランキー,ONEPIECE
Mr.2ボン・クレー,ONEPIECE
