田村えり子,アイドル伝説えり子
野原しんのすけ(初代)※,クレヨンしんちゃん
殴られウサギ,クレヨンしんちゃん
ビビアン,花の魔法使いマリーベル
吉永サリー,勇者特急マイトガイン
パッフィー・パフリシア,覇王大系リューナイト
リリーナ・ピースクラフト,新機動戦記ガンダムW
しあわせウサギ,クマのプー太郎
香坂エリカ,銀河お嬢様伝説ユナ
三国チイコ,爆走兄弟レッツ&ゴー!!
ジョセフィーヌ・グッドウィン,爆走兄弟レッツ&ゴー!!
ミンミン,ぼのぼの
リッケルト,剣風伝奇ベルセルク
幽戯,新・天地無用!
舞島可憐,同級生2 (OVA)
アンナ・レスピーギ,バトルアスリーテス大運動会
R・ドロシー・ウェインライト,THEビッグオー
アニタ,ヴァンパイアハンター(OVA)
ミー・スノードン,映画ポケットモンスター結晶塔の帝王ENTEI
アクセス・タイム,神風怪盗ジャンヌ
ヒメグマ,ポケットモンスター
琥珀,犬夜叉
逆髪の結羅,犬夜叉
マユ（右）,機巧奇傳ヒヲウ戦記
文渡蘭菊,からくりの君
椎名つばさ,フィギュア17
桜瀬ちなみ,セラフィムコール
柚木詩子,ONE～輝く季節へ～ (OVA)
クウ,灰羽連盟
鴨川アスミ,ふたつのスピカ
エデ,巌窟王
ミップル,ふたりはプリキュア＆ふたりはプリキュアMaxHeart
姫川亜弓,ガラスの仮面(2005年版)
サクヤ,交響詩篇エウレカセブン
ディーヴァ,BLOOD+
宮城リク,BLOOD+
ピノ,エルゴプラクシー
アリサ・サザンクロス,ケロロ軍曹
雨童女,xxxHOLiC
ガラクタの人形,CLANNAD
駒玖珠都,神霊狩
小此木京子,電脳コイル
若竹マリ,BLUEDROP
ルナ,キャシャーンsins
アンジェラ・ブラン,黒執事
カイ,ドルアーガの塔
子狐,夏目友人帳
大山賢一,ジャングル大帝 -勇気が未来をかえる-
後輩（こうはい）,カッコカワイイ宣言
ファイヤーSHIN-MEN ゴゥ,SHIN-MEN
シス,TIGER&BUNNY
二代目メルク,トリコ
道楽宴,俺の脳内選択肢が、学園ラブコメを全力で邪魔している
悪鬼,新世界より
日野花子,少年メイド
ジャンヌ・ダルク,タイムボカン24
西郡空挧流、流譜、流麗,ユーリ!!!onICE
ピピ美,ポプテピピック ※第7話Aパート
タイラント伯爵,ファイナルファンタジー:アンリミテッド
だっと,学校の怪談(テレビアニメ)
白鳥エレン,地球防衛家族
イツキ・カザマ,機動戦艦ナデシコ
石蕗美蔓,少女革命ウテナ
チョビ,FF:U~ファイナルファンタジー：アンリミテッド~ (右側のチョコボ)
万年 ,新白雪姫伝説プリーティア
ロンロン,ぷるるんっ!しずくちゃん (左)
音無響,BLOOD+ (左側の瞳の青い少女)
阿久あまりん,ガイストクラッシャー (左の青髪キャラ)
