宗田真夏,RDG レッドデータガール
瞬木隼人,イナズマイレブンGOギャラクシー
レド,翠星のガルガンティア
土御門春虎,東京レイヴンズ
木原紡,凪のあすから
影山飛雄,ハイキュー!!
福井健介,黒子のバスケ
ティグルヴルムド=ヴォルン,魔弾の王と戦姫
イグナシオ・アクシス,とある飛空士への恋歌
ペガサス星矢,聖闘士星矢 Legend of Sanctuary
ナイン(九重新),残響のテロル
マルコス・エリングラッド・ガルシア,テラフォーマーズ
楊舜臣,ダイヤのA
出水公平,ワールドトリガー
水坂湊太,天体のメソッド
灰村諸葉,聖剣使いの禁呪詠唱
六道りんね,境界のRINNE
君月士方,終わりのセラフ
榊原蓮,暗殺教室
シンジ・ウェーバー,遊戯王ARC-V
ジェノス,ワンパンマン
ヘイヴィア=ウィンチェル〈画像後ろ〉,ヘヴィーオブジェクト
人吉爾朗,コンクリート・レボルティオ〜超人幻想〜
飯田天哉,僕のヒーローアカデミア
ヴィルヘルム・ヴァン・アストレア〈青年期〉,Re:ゼロから始める異世界生活
カキ,ポケットモンスター サン&ムーン
プロデューサー,アイドルマスターSideM
ピピ美,ポプテピピック※第9話Bパート
藤崎浩人,ノラガミ ARAGOTO
橋上サライ,Occultic;Nine-オカルティック・ナイン-
卯野さき〈変身後〉,魔法少女俺(画像右)
瓜江久生,東京喰種:re
斑鳩士門,双星の陰陽師
ドレイク,ゾイドワイルド
北埋川,ハッピーシュガーライフ
ヘッケラン・ターマイト,オーバーロード
沙田美月,火ノ丸相撲
梓川咲太,青春ブタ野郎シリーズ
サーレー,ジョジョの奇妙な冒険 黄金の風
