イザナ・ウィスタリア,赤髪の白雪姫
イエロー・レディオ,アクセル・ワールド
ハルナワ,アラタカンガタリ
犬丸,うえきの法則
藤原義孝,うた恋い。
荒木竜一,エリアの騎士
クード=ヴァン=ジルエット,エレメンタルジェレイド
謎の青年,Angel Beats!
東雲ショウマ,カードファイト!!ヴァンガードG
ビリジアン,怪盗ジョーカー
鳴海先生,学園アリス
ミカゲ,神様はじめました
錦織みちる,かみちゃまかりん
島田秀雄,寄生獣 セイの格率
アンオウ,キディ・グレイド
アスラン・ザラ,機動戦士ガンダムSEED
松山光,キャプテン翼(2001年版)
ウルトラマグナス,キュートランスフォーマー
黒洲,境界のRINNE
サラレギー,今日からマ王!(第3シリーズ)
稲荷,京騒戯画
明恵上人,京騒戯画
桂小太郎,銀魂
パッド君,クラシカロイド
クロノ,クロノクルセイド
O型くん,血液型くん!
堕落王フェムト,血界戦線
ダミヤ,獣の奏者エリン
サブロー/623,ケロロ軍曹
ジュドー,剣風伝奇ベルセルク
ゴクドー・ユーコット・キカンスキー,ゴクドーくん漫遊記
ウォンレイ,金色のガッシュベル!!
縢秀星,PSYCHO-PASS
アポロン,サイボーグ009(平成版)
猪八戒,最遊記シリーズ
天蓬元帥,最遊記外伝
久保田吉伸,坂本ですが?
磯崎齋,櫻子さんの足下には死体が埋まっている
猿飛サスケ,SAMURAI DEEPER KYO
宗谷冬司,3月のライオン
爆,ジバクくん
四つ辻の美少年,死びとの恋わずらい（まんがビデオ）
更夜/犬狼真君,十二国記
班渠,十二国記
菊比古,昭和元禄落語心中
有楽亭八雲,昭和元禄落語心中
司瑛士,食戟のソーマ
渚カヲル,新世紀エヴァンゲリオン
レレレのおじさん,深夜!天才バカボン
ヘッド,STAR DRIVER 輝きのタクト
アイズ・ラザフォード,スパイラル～推理の絆～
ゼロス,スレイヤーズ
魚座のアモール,聖闘士星矢Ω
乙女座のアスミタ,聖闘士星矢 ロストキャンバス
麒麟のユダ,セイント・ビースト
申公豹,仙界伝 封神演義
渡辺久志,ダイヤのA
中嶋正義,断裁分離のクライムエッジ
会長,男子高校生の日常
ユーリ,チェインクロニクル
ひろしくん(初代),ちびまる子ちゃん
日渡怜,D・N・ANGEL
ウィザーモン,デジモンアドベンチャー
観月はじめ,テニスの王子様
ジョセフ・G・ニュートン,テラフォーマーズ
ミカエル,天使になるもんっ!
小牧幹久,図書館戦争
バドー・ネイルズ,DOGS/BULLETS&CARNAGE
トミーロッド,トリコ
源義経,ドリフターズ
カリー,ドルアーガの塔
すってん童子,Dororonえん魔くんメ～ラめら
宇崎星夜,ナースエンジェルりりかSOS
名取周一,夏目友人帳
岡崎真一,NANA
小森朋典,なるたる
我愛羅,NARUTO
赤雷,忍空
綾部喜八郎,忍たま乱太郎
玉章,ぬらりひょんの孫
フランソワ・ヴィドック,ノブナガン
コロン,ハートキャッチプリキュア
シュミット,爆走兄弟レッツ&ゴー!!
ザークシーズ=ブレイク,PandoraHearts
栄花段十朗,バンブーブレード
フィッシュ・アイ,美少女戦士セーラームーン
ゴードン,ファイアーエムブレム 紋章の謎(OVA)
白い雲,FF：U 〜ファイナルファンタジー:アンリミテッド〜
軸川ソウジ,ファイ・ブレイン
ゼレフ,FAIRY TAIL
雨生龍之介,Fate/Zero
草冠宗次郎,劇場版BLEACH The DiamondDust Rebellion もう一つの氷輪丸
フョードル・D,文豪ストレイドッグス
武蔵小麦,変ゼミ
コエムシ,ぼくらの
ハヤト,ポケットモンスター
N,ポケモンジェネレーションズ(日本語吹き替え版)
ユナン,マギ
ヴィクトール,マジンボーン
フェイト・アーウェルンクス,魔法先生ネギま!
多蕗桂樹,輪るピングドラム
三枝友則(若ぞう),みどりのマキバオー
秋瀬或,未来日記
とくがわ,ミラクル☆トレイン
ハワード,無人惑星サヴァイヴ
白馬探,名探偵コナン
大池トビオ,メタルファイトベイブレード
カルマ,モンスターストライク
エド・フェニックス,遊☆戯☆王デュエルモンスターズGX
仙水忍(若年時),幽☆遊☆白書
一色黎明,妖怪アパートの幽雅な日常
氷室彰,ルパン三世 血の刻印 〜永遠のMermaid〜
テグネウ,六花の勇者
キャベンディッシュ,ONE PIECE
