神崎ケン,機甲警察メタルジャック
ダン・キーン,若草物語ナンとショーン先生
ジェロニモ,キン肉マンキン肉星王位争奪編
大楠雄二,スラムダンク
神宗一郎,スラムダンク
マイケル・コーガン※1,ジャングルの王者ターちゃん
レオン,中華一番
ガッツ,剣風伝奇ベルセルク
七松小平太,忍たま乱太郎
白石健二,蒼き伝説シュート!
熱気バサラ,マクロス7
翼宿,ふしぎ遊戯
パーン,ロードス島戦記
黒き風,FF：U 〜ファイナルファンタジー:アンリミテッド〜
美堂蛮,GetBackers
薬師カブト,NARUTO
小柏カイ,頭文字D
草間野分,純情ロマンチカ
ギリコ,ソウルイーター
持田,GIANTKILLING
ダークプリンス,Bビーダマン爆外伝
李白竜,シャーマンキング
高槻涼,PROJECT ARMS
松田陣平,名探偵コナン
柳也,AIR
ロニー・スキアート,BACCANO!
ノイトラ・ジルガ,BLEACH
緑川源次,スマイルプリキュア
飛天,犬夜叉
龍羅,犬夜叉紅蓮の蓬莱島
ホークセイバー,伝説の勇者ダ・ガーン
ペガサスセイバー,伝説の勇者ダ・ガーン
ガウル,ジェネレイターガウル
エグザモン,デジモンクロスウォーズ 悪のデスジェネラルと七つの王国
ライナー・チョマー,ガンダムビルドファイターズ
鄭悠舜,彩雲国物語
大人しんのすけ,クレヨンしんちゃん 超時空!嵐を呼ぶオラの花嫁
嘘界=ヴァルツ・誠,ギルティクラウン
タイガマル,爆闘宣言ダイガンダー※2
水瓶座のカミュ,聖闘士星矢(OVA)　/　黄金魂
ガブリエル,天使になるもんっ!
