アトス,アニメ三銃士
イアーゴ,アラジン(ディズニー版)
台羽正,宇宙海賊キャプテンハーロック
加藤三郎,宇宙戦艦ヤマト
加藤四郎,宇宙戦艦ヤマトⅢ
面堂終太郎,うる星やつら
オヨヨネコ,オヨネコぶーにゃん
ゾロリ,かいけつゾロリ(93年映画)
鳥坂先輩,究極超人あ～る
バグダッシュ,銀河英雄伝説
エリザベス,劇場版 銀魂 完結篇 万事屋よ永遠なれ
キン肉スグル,キン肉マン
流竜馬,ゲッターロボ
大道剴,ゲッターロボ號
渡イサム,荒野の少年イサム
中川圭一,こちら葛飾区亀有公園前派出所（1985年版）
冴羽獠,シティーハンター/エンジェル・ハート
α星ドゥベのジークフリート,聖闘士星矢
ペルセウス星座のアルゴル,聖闘士星矢
ツワブキ・サンシロー,大空魔竜ガイキング
チリン(青年期),チリンの鈴
大地衛,地球防衛家族
ロイ・フォッカー,超時空要塞マクロス
リュウケン,DD北斗の拳
セキ・レイ・シロエ,地球へ…(映画)
竜崎一矢,闘将ダイモス＊1
里中智,ドカベン
ドラパン,ドラえもんズ
ガーリックJr.,ドラゴンボールZ
バビル2世（古見浩一）,バビル2世
土萠創一,美少女戦士セーラームーンS
シンクライン皇太子,百獣王ゴライオン＊2
ミト・カヤ,氷河戦士ガイスラッガー
ケンシロウ,北斗の拳
ピピ美,ポプテピピック第4話Bパート
佐藤茂,ポヨポヨ観察日記
ニュウ・エイブ,マップス 伝説のさまよえる星人たち
クロード・水沢,未来警察ウラシマン＊3
毛利小五郎(初代),名探偵コナン
ニャロメ,もーれつア太郎(1990年版)
ひびき洸,勇者ライディーン
アシュラム,ロードス島戦記(OVA版)
一文字タクマ,惑星ロボダンガードA＊4
