メフィスト・フェレス,青の祓魔師
市ノ宮行,荒川アンダーザブリッジ
エレクパイル・デュカキス,イクシオンサーガDT
バダップ・スリード,劇場版イナズマイレブン 最強軍団オーガ襲来
水前寺邦博,イリヤの空、UFOの夏(OVA)
ダスウサ,うーさーのその日暮らし
クラウス・キーマン,宇宙戦艦ヤマト2202
蓬莱黒刀,裏切りは僕の名前を知っている
キャプテンガンダム,SDガンダムフォース
音無結弦,AngelBeats!
チョロ松,おそ松さん
花礫,カーニヴァル
シシーニョ,ガリレイドンナ
藤野清志,監獄学園
北条政信,GANTZ
ゼハート・ガレット,機動戦士ガンダムAGE
シャムス・コーザ,機動戦士ガンダムSEED C.E.73 STARGAZER＊1
ティエリア・アーデ,機動戦士ガンダム00
嵐テッペイ,キャプテン・アース
アンドリュー・フォーク,銀河英雄伝説 Die Neue These
戸-伍丸弐號,銀魂
ぶりぶりざえもん（2代目）,クレヨンしんちゃん＊2
トリュフ,映画 クレヨンしんちゃん バカうまっ!B級グルメサバイバル!!
赤司征十郎,黒子のバスケ
狼谷吊戯,SERVAMP
斉木楠雄,斉木楠雄のΨ難
ニコラス・ウォン,劇場版PSYCHO-PASS
糸色望,さよなら絶望先生
糸色命,さよなら絶望先生
カイ,ジバクくん
ペンギンさん,しろくまカフェ
タタラ・フォロン,神曲奏界ポリフォニカ
リヴァイ,進撃の巨人
乙幡麗,超GALS!寿蘭
琴座のオルフェ,聖闘士星矢(OVA)
アンドロメダ瞬,聖闘士星矢Ω
魚座のアルバフィカ,聖闘士星矢 THE LOST CANVAS 冥王神話
柳瀬優,世界一初恋
トイフェル・ディアボロス,戦勇。
真田俊平,ダイヤのA
ぺが之助,だめっこどうぶつ
武田洋(2代目),ちびまる子ちゃん
クレニアムモン,デジモンセイバーズ
源輝二/ヴォルフモン,デジモンフロンティア
久世響希,DEVIL SURVIVOR2 the ANIMATION
折原臨也,デュラララ!!
鑑純一郎,電波教師
草壁光,同級生
ザジ・ザ・ビースト,トライガン
夏目貴志,夏目友人帳
ヘルブラム(妖精),七つの大罪
千羽様,ぬらりひょんの孫
夜ト,ノラガミ
武田一鉄,ハイキュー!!
神岡テルマ,爆球HIT!クラッシュビーダマン＊3
ガーランド・ツェットバルト,爆転シュート ベイブレード Gレボリューション
阿良々木暦,化物語
竹本祐太,ハチミツとクローバー＊4
里見莉芳,八犬伝-東方八犬異聞-
犬神つるぎ,ぱにぽにだっしゅ!
ネコ神様,ぱにぽにだっしゅ!
アート,ハマトラ
天野ナガレ,ヒーローバンク
篁カオル,東のエデン
草津錦史郎,美男高校地球防衛部LOVE!
フリーセル,ファイブレイン‐神のパズル‐
馬加,伏 鉄砲娘の捕物帳
西岡正志,舟を編む
弟,劇場版BLEACH Fade to Black 君の名を呼ぶ＊5
ゼス,ブレイクブレイド
海野六郎,BRAVE10
江戸川乱歩,文豪ストレイドッグス
青年商人,まおゆう魔王勇者
ミカエル / エリオット・イーデン,魔界王子 devils and realist
ミハエル・ブラン,マクロスF
直江大和,真剣で私に恋しなさい!!
宗像形,めだかボックス
浅村賢吾,モノクローム・ファクター
ベルゼブブ優一,よんでますよ、アザゼルさん。
フロンティアセッター,楽園追放
河井武士,リングにかけろ
シオン・アーデル・ビクロビュート,ルパン三世 princess of the breeze ～隠された空中都市～
相馬博臣,WORKING!!
トラファルガー・ロー,ONE PIECE
