天野美紗緒,BPSバトルプログラマーシラセ
サンディ,マシュマロ通信
リオーネ,ふしぎ星の☆ふたご姫
イヴ,BLACKCAT
月野コン太,爆球HIT!クラッシュビーダマン
ちくリン,びんちょうタン
響ミソラ,流星のロックマン
篠岡千代,おおきく振りかぶって
銀,DARKER_THAN_BLACKシリーズ
夏目,ひだまりスケッチ
中山さん,ひだまりスケッチ
宮藤芳佳,ストライクウィッチーズ
エルカ=フロッグ,ソウルイーター
土御門舞夏,とある魔術の禁書目録/とある科学の超電磁砲
金色の闇,ToLOVEる
槍桜ヒメ,夜桜四重奏
黒乃胡夢,ロザリオとバンパイア
美村魔子,極上!!めちゃモテ委員長
三ヶ島沙樹,デュラララ!!
サトシのミジュマル,ポケットモンスター ベストウイッシュ
ラングレー,ポケットモンスター ベストウイッシュ
枸雅詩緒,神様ドォルズ
求衛のの、求衛ねね,BLOOD-C
志熊理科,僕は友達が少ない
杉浦多佳子,Another
前田犬千代,織田信奈の野望
星空みゆき/キュアハッピー,スマイルプリキュア
小此木ももえ,黄昏乙女×アムネジア
ブーケ,どうぶつの森(映画)
ゆめみっち,たまごっち
角谷杏,ガールズ&パンツァー
女魔法使い,まおゆう魔王勇者
野火マリエ,革命機ヴァルヴレイヴ
弓月マアム,M3～ソノ黒キ鋼～
古川蛍子,侵略!イカ娘※イラスト左
コーちん,俺の屍を越えてゆけ2
イギー,ジョジョの奇妙な冒険スターダストクルセイダース（TVアニメ版）
ちびうさ/セーラーちびムーン/ブラックレディ,美少女戦士セーラームーンCrystal
エドナ,テイルズオブゼスティリア
立上芹,蒼穹のファフナー
ラビィ,ふうせんいぬティニー
倉科明日香,蒼の彼方のフォーリズム
宮内ひかげ,のんのんびより
田中,プリズマ☆イリヤ ドライ!!
初(はじめ),新白雪姫伝説プリーティア
山崎裕子,昭和物語
チロ,まじもじるるも(※イラスト左)
アゲハ隊,交響詩篇エウレカセブン
トガヒミコ,僕のヒーローアカデミア
鈴木なぎさ,つうかあ
白木優羽莉,ロードオブヴァーミリオン紅蓮の王
"",""
"",""
