奥村雪男,青の祓魔師
ラジ・シェナザード,赤髪の白雪姫
中野攻,亜人(あじん)
トリケン,甘城ブリリアントパーク
六合鴇時,あまつき
殺せんせー/死神,暗殺教室
マリアンデール,イクシオンサーガDT
紅日向,いつか天魔の黒ウサギ
野坂悠馬,イナズマイレブンアレスの天秤
川平啓太,いぬかみっ!
アノン,うえきの法則
砂戸太郎,えむえむっ!＊1
逢沢傑,エリアの騎士
クラフト・ロレンス,狼と香辛料
泉孝介,おおきく振りかぶって
一松,おそ松さん
太刀花リク,陰陽大戦記
アルセーヌ・ルパン,怪盗ジョーカー
アードライ,革命機ヴァルヴレイヴ
桜小路優,ガラスの仮面(2005年版)
アルベール・ド・モルセール,巌窟王
ヒデト・ワシヤ,機動戦士ガンダム MS IGLOO
葵・トーリ,境界線上のホライゾン
始皇帝・嬴政,キングダム
漂,キングダム
加藤久嵩,鉄のラインバレル
花宮真,黒子のバスケ
グレル・サトクリフ,黒執事
八田美咲,K
ルルーシュ,コードギアスシリーズ
ジュリアス・キングスレイ,コードギアス亡国のアキト
須賀京太郎,咲-saki-
アンディ・サマエル,ジュエルペットシリーズ
ディアン,ジュエルペットシリーズ
ネジ川テツオ,ジュエルペットサンシャイン
長福丸,常住戦陣!!ムシブギョー
実井,ジョーカー・ゲーム
パンダくん,しろくまカフェ
助手さん,人類は衰退しました
シンドウ・スガタ,STARDRIVER 輝きのタクト
巧美,ストレンジ・プラス
輝火,聖闘士星矢THE LOST CANVAS 冥王神話
ハクレン=オーク,07-GHOST
沖進,潜水艦スーパー99(松本零士)
きなこ,双星の陰陽師
レオパルド,宇宙をかける少女
キース・レジェ,∀ガンダム
枡伸一郎,ダイヤのA
富樫勇太,中二病でも恋がしたい！
天空侍斗牙,超重神グラヴィオンシリーズ
ゴーシュ・スエード,テガミバチ
六路文堂,デッドマン・ワンダーランド
忍足謙也,テニスの王子様
岸谷新羅,デュラララ!!
ライトニングツバサアン（つばさ）,電光超特急ヒカリアン
ライナ・リュート,伝説の勇者の伝説
河野貴明,ToHeart2＊2
リン,咎狗の血
ジャック・ダービー,トランスフォーマープライム
島尾篤,夏雪ランデブー
キング,七つの大罪
大筒木トネリ,NARUTO
タマ,にゃんこい!
にゃてんし,にゃんぱいあ
アゴニィ,ニンジャスレイヤーフロムアニメイシヨン
舳丸,忍たま乱太郎
奴良リクオ,ぬらりひょんの孫
兆麻,ノラガミ
河川菊之介〈七福鬼神〉,はっぴぃセブン
ハガクレ・シドー,バトルスピリッツソードアイズ
タツミ,バトルスピリッツダブルドライブ
棚志テガマル,バトルスピリッツ覇王
カール・ローゼンタール,花咲ける青少年
バースデイ,ハマトラ
ヴィンセント=ナイトレイ,PandoraHearts
有馬燻,美男高校地球防衛部LOVE!
田名辺治朗,氷菓
逆之上ギャモン,ファイ・ブレイン
早乙女正美,ブギーポップは笑わない
武藤カズキ,武装錬金
フィンラル・ルーラケイス,ブラッククローバー
ゼルマン・クロック,BLACK BLOOD BROTHERS
犬,BLOOD-C
綾瀬川弓親,BLEACH
小島水色,BLEACH
河野亨,プリンセス・プリンセス
坂口安吾,(文豪ストレイドッグス
ビートマ,冒険遊記プラスターワールド
スワマ,ポケットモンスター ベストウイッシュ
グリーン,ポケモンジェネレーションズ
四月一日君尋,xxxHOLiCシリーズ
勇者,まおゆう魔王勇者
ケヴィン＝セシル,魔界王子
カシム,マギ
ルカ・アンジェローニ,マクロスFB7/マクロスF
神威章,無敵王トライゼノン
蛇王カイラ,妖怪ウォッチ
岸神小鞠,弱虫ペダル
ナミコシ,乱歩奇譚
エイサップ・鈴木,リーンの翼
ジル・カウル・ヴェスパランド,ルパン三世VS名探偵コナン
高山直人,RAILWARS!
伊庭いつき,レンタルマギカ
サーチマン,ロックマンエグゼシリーズ
小鳥遊宗太,WORKING!!
烏丸京介,ワールドトリガー
バカボンのパパ,深夜!天才バカボン※第1話のみ
ハウ,ポケットモンスター サン＆ムーン
李月龍,BANANAFISH
