人造人間19号,ドラゴンボールGT
ナッパ,ドラゴンボール改
ハリー・オード,∀ガンダム
前田彰,魁!!クロマティ高校
ゴロベエ,samurai7
角松洋介,ジパング
狛村左陣,BLEACH
MAXマン,キン肉マンⅡ世
アプトム,強殖装甲ガイバー
黒鋼,ツバサ・クロニクル
小田島,怪～ayakashi～
岩端晃司,喰霊-零-
いおりょぎ,こばと。
タルカス,ジョジョの奇妙な冒険/ファントムブラッド
角馬王将,イナズマイレブン(イラスト右上)
伊丹伽楼羅,俺たちに翼はない
新城テツ,カードファイト!!ヴァンガード
高崎先生,日常
マキシ,ポケットモンスターDP
蟇郡苛,キルラキル
辰造,ガンダムビルドファイターズ
ブドーラ,参乗合体トランスフォーマーGo!
ワッケイン,機動戦士ガンダム(特別版)
日下幅広,おじさんとマシュマロ
オーバージャスティス本部長,宇宙パトロールルル子
ブレイン（マスターゼロ）＆ラポワント,FAIRYTAIL
エンデヴァー,僕のヒーローアカデミア
E4パワー,電光超特急ヒカリアン
ドクターイエロー,電光超特急ヒカリアン
荒くれ者,この素晴らしい世界に祝福を!
アレクシス・ケリヴ,SSSS.GRIDMAN
