ゼット・ライト,聖戦士ダンバイン※1
碇ゲンドウ,新世紀エヴァンゲリオン
更木剣八,BLEACH
長谷川泰三,銀魂※2
ゴールドフット,疾風!アイアンリーガー
高坂大介,俺の妹がこんなに可愛いわけがない
葛西辰由,ひぐらしのなく頃に
ウォッカ,名探偵コナン
ビリー,荒川アンダーザブリッジ
黒磯,クレヨンしんちゃん
シャドウ丸,勇者警察ジェイデッカー
スロウス,鋼の錬金術師(2009年版)
オダマキ博士,ポケットモンスターアドバンスジェネレーション
ルンパッパ,ポケットモンスター
マチス,ポケットモンスター
クリーク,ONEPIECE
サカズキ,ONEPIECE
新導ライブ(中央),カードファイト!!ヴァンガードGシリーズ
鳴神弁慶,ビッグオーダー
モントゥトゥユピー,HUNTER×HUNTER（2011年版)
赤龍帝（ドライグ）,ハイスクールD×D
たんたん坊,ゲゲゲの鬼太郎(第４作)
のびあがり,ゲゲゲの鬼太郎(第４作)
アカマタ,ゲゲゲの鬼太郎（第5作目）
ヴァーツラフ・ハヴェル,トリニティ・ブラッド
大路吾平,たまこまーけっと
ケルベロモン,デジモンフロンティア
みみずくの竜,科学忍者隊ガッチャマン(OVA)
種田山頭火,文豪ストレイドッグス
サタケ,クレヨンしんちゃん 暗黒タマタマ大追跡
