小野妹子,ギャグマンガ日和(第2期まで)
柳蓮二,テニスの王子様
九鬼貴一,テニスの王子様
クモジャキー,ハートキャッチプリキュア
ダージ,ビーストウォーズⅡ
アートファイヤー,トランスフォーマーカーロボット
ウボォーギン,HUNTER×HUNTER(1999年版)
鉄馬丈,アイシールド21
猪狩大吾,アイシールド21
キン肉アタル,キン肉マンII世
クロエ,キン肉マンⅡ世
コンバット・ブルース,ボボボーボ・ボーボボ
バンチョーレオモン,デジモンセイバーズ
蝙也,るろうに剣心
ヤングハーロック,コスモウォーリアー零
天哭星ハーピーのバレンタイン,聖闘士星矢(OVA)
タイタン,聖闘士星矢Ω
ペルセウス星座のミルファク,聖闘士星矢Ω
セリック・アビス,機動戦士ガンダムAGE
X・ドレーク,ONEPIECE
ボギーウッズ,トリコ
ホークアイ,ディスク・ウォーズ:アベンジャーズ
退魔の剣　他,モノノ怪・怪～ayakashi～
クンツァイト,美少女戦士セーラームーンCrystal
唐沢克己,ワールドトリガー
荒船哲次,ワールドトリガー
熊耳,Charlotte
影虎,銀牙伝説WEED
ベルガモ,ドラゴンボール超
キュイ,ドラゴンボール改
伏見,京騒戯画
カンブツさん,おじゃる丸
武者のコージ,PAPUWA
月島軍曹,ゴールデンカムイ
杉谷善住坊,信長の忍び
ゲームマスター,ガンダムビルドダイバーズ
