中野梓,けいおん!
バニラ,夢色パティシエール
沢渡楓,たまゆら
石動美緒,えむえむっ!
高坂桐乃,俺の妹がこんなに可愛いわけがない
高原歩美,神のみぞ知るセカイ
住之江あこ,Kiss×sis
ミリア・マリーゴールド・マッケンジー,ジュエルペットてぃんくる☆
シモーヌ・アラゴン/セクレタリー,STAR DRIVER 輝きのタクト
清水美春,バカとテストと召喚獣
霧谷希,迷い猫オーバーラン!
ツグミ,ギルティクラウン
エクレール・マルティノッジ,DOGDAYS
メイ子,猫神やおよろず
井ノ上あせび,ベン・トー
ミント・クラーク,リオ・レインボーゲート
アルドラ,クイーンズブレイドリベリオン
リーファ/桐ヶ谷直葉,ソードアート・オンライン
塔城小猫,ハイスクールD×D
逆之上ミハル,ファイ・ブレイン
神近香織理,乙女はお姉さまに恋してる 2人のエルダー(OVA)
国立凛香,この中に1人、妹がいる!
胡桃/ミラクるん,ゆるゆり
ともみ,たまごっち!
五河琴里,デート・ア・ライブ
ヨルムンガンド,絶対防衛レヴィアタン
萩原さくら,世界でいちばん強くなりたい!
アリエル・アルバス,とある飛空士への恋歌
天刀もよ,ウィザード・バリスターズ
マミタス,スペース☆ダンディ
桃子,モモキュンソード
硲舎佳茄,とある科学の超電磁砲
腐ガール,デンキ街の本屋さん
カラマ,六畳間の侵略者!?
アン王女,まじっく快斗1412
嵐城サツキ,聖剣使いの禁呪詠唱
若菜羽衣,おくさまが生徒会長!
島田愛里寿,ガールズ&パンツァー劇場版
アースちゃん,コンクリート・レボルティオ
何玉鳳,ランス・アンド・マスクス
枝垂ほたる,だがしかし
マヨネ,スナックワールド
軽井沢恵,ようこそ実力至上主義の教室へ
香椎結衣,はじめてのギャル
藍原柚子,citrus
ピピ美,ポプテピピック　※第2話Aパート
小泉さん,ラーメン大好き小泉さん
上田アズサ,新幹線変形ロボ シンカリオン  THE ANIMATION
希里ありす,学園黙示録
中野二乃,五等分の花嫁
