レヴィアタン,うみねこのなく頃に
平沢憂,けいおん!
城之内セレナ,プリティーリズム・オーロラドリーム
赤沢泉美,Another
ラシャラ・アース二十八世,異世界の聖機師物語
ほくと,.hack//Link
小木曽雪菜,WHITE ALBUM2
新垣雛菜,ガールフレンド(仮)
東風谷早苗,不思議の幻想郷（東方Project二次創作作品）
パチュリー・ノーレッジ,不思議の幻想郷（東方Project二次創作作品｝
マリア・ピア・ディ・ロマーニャ（マリア第一公女）,ストライクウィッチーズ2
古賀いたみ,めだかボックス アブノーマル
杉崎林檎,生徒会の一存
白崎つぐみ,大図書館の羊飼い
フェリ,グランブルーファンタジー
市ノ瀬莉佳,蒼の彼方のフォーリズム
春井香穂（左側）,極上!!めちゃモテ委員長
ウララのマイナン（左側）,ポケットモンスター ダイヤモンド&パール
ジェウン（右側）,プリティーリズム・ディアマイフューチャー
オルガマリー・アニムスフィア※,Fate/GrandOrder -First Order-
霍穎,霊剣山
玉田,ガールズ&パンツァー劇場版
フリント,ガールズ&パンツァー 最終章
紲星あかり,VOICEROID
