パスティス,ACCA13区監察課
岩木くん,あたしンちシリーズ＊1
四つ辻の美少年,伊藤潤二コレクション
鳳瑛一,うたの☆プリンスさまっ♪マジLOVE2000%
覚羅,精霊使い
錆白兵,刀語
ジアート,銀河機攻隊マジェスティックプリンス
結野晴明,銀魂
南戸粋,銀魂
ナッシュ・ゴールド・Jr,黒子のバスケ
画皮,ゲゲゲの鬼太郎（6期）
ツェッド・オブライエン,血界戦線
黎星刻,コードギアス 反逆のルルーシュR2
デュフォー,金色のガッシュベル!!
茈静蘭,彩雲国物語
坂本,坂本ですが?
菊地善人,GTO
絶鬼,地獄先生ぬ～べ～
田仲俊彦,シュート!
迂々真,十二大戦
御影草時,少女革命ウテナ
ディオ・ブランドー,ジョジョの奇妙な冒険ファントムブラッド(劇場版・ゲーム版)
出水シンペイ,新幹線変形ロボ シンカリオン THE ANIMATION
ヒイロ・ユイ,新機動戦記ガンダムW
劉鳳,スクライド
ズモモ,ズモモとヌペペ
池上亮二,SLAM DUNK
流川楓,SLAM DUNK
ゼルガディス=グレイワーズ,スレイヤーズシリーズ
飛田鴻星,星方天使エンジェルリンクス
光牙,聖闘士星矢Ω
斗馬,聖闘士星矢 天界編 序奏～overture～
鳳凰のルカ,セイント・ビースト
美濃奏,世界一初恋
エンジェモン,デジモンフロンティア
赤坂圭一郎,東京ミュウミュウ
天津飯,ドラゴンボール改
ガッシュ,ドラゴンボールZ
人造人間16号,ドラゴンボールZ
パイクーハン,ドラゴンボールZ
シンタロー,南国少年パプワくん
十三代目 花開院秀元,ぬらりひょんの孫 千年魔京
デューン,ハートキャッチプリキュア
エドガー・J・C・アシェンバート,伯爵と妖精
白夜王ヤイバ,バトルスピリッツ ソードアイズ
エイル,美少女戦士セーラームーンR
フィオレ,美少女戦士セーラームーンR（劇場版）
マルス,ファイアーエムブレム紋章の謎 ＊2
ディルムッド・オディナ(ランサー),Fate/Zero
九堂博道,フォトカノ
鬼宿,ふしぎ遊戯
新条直輝,新世紀GPXサイバーフォーミュラ
石田三成,BRAVE10
真田明彦,ペルソナ〜トリニティ・ソウル〜
ゼノン,冒険王ビィト
ベストジーニスト,僕のヒーローアカデミア
ソフトン,ボボボーボ・ボーボボ
十鬼島ゲン,マップス
スコッチ,名探偵コナン
デュナミス,メタルファイトベイブレード
海馬瀬人,遊☆戯☆王
雷張ジョー,勇者特急マイトガイン
マーキュリー・ブラック,RWBY
水鏡凍季也,烈火の炎
風間蒼也,ワールドトリガー
飛葉大陸,ワイルド7
