蔵馬/南野秀一,幽☆遊☆白書
ペッツ,美少女戦士セーラームーンR
地場衛,劇場版セーラームーンR（幼少期。画像左）
天王はるか/セーラーウラヌス,美少女戦士セーラームーンS
エメロード姫,魔法騎士レイアース
イーグル・ビジョン,魔法騎士レイアース
三杉淳,キャプテン翼J（少年期）
碇シンジ,新世紀エヴァンゲリオン
華蓮,B'T-X
飯島久美子,劇場版 地獄先生ぬ～べ～
サイザー,ハーメルンのバイオリン弾き
冷羽/松風,吸血姫美夕
武藤遊戯,遊☆戯☆王（東映版の初代遊戯王）
月城雪兎/ユエ,カードキャプターさくら
普賢真人,封神演義
いずみ・リオ,満月をさがして
諸星秀樹,劇場版 名探偵コナン ベイカー街の亡霊
真田幸村,SAMURAI DEEPER KYO
ワルキューレ,円盤皇女ワるきゅーレ
ワルキューレ・ゴースト,円盤皇女ワるきゅーレ
連城究（キュウ）,探偵学園Q
ティア・ハリベル,BLEACH
直井文人,AngelBeats!
球磨川禊,めだかボックス
モモカ,ハマトラ
堀部イトナ,暗殺教室
青山雅也/蒼の騎士/ディープブルー,東京ミュウミュウ
ティオ,映画ドラえもん のび太の太陽王伝説
第13話 予告ナレーション（万国旗）,日常
ヨハン,レガリア The Three Sacred Stars
森の音楽家クラムベリー,魔法少女育成計画
狛枝凪斗,ダンガンロンパ3絶望編
苗木誠,ダンガンロンパTHE_ANIMATIONとダンガンロンパ3未来編
