りん,犬夜叉
エルザ・デ・シーカ,ガンスリンガーガール
七瀬成恵,成恵の世界
東葉月,ヤミと帽子と本の旅人
城戸舟子,ロックマンエグゼ
ティー,キノの旅 (2004年)
アンゴル=モア,ケロロ軍曹
塚本八雲,スクールランブル
藤堂志摩子,マリア様がみてる
鷺月子,妄想代理人
東城綾,いちご100%
アナ・コッポラ,苺ましまろ
鈴子・ジェラード,うえきの法則
閻魔あい,地獄少女
エステル・ブランシェ,トリニティ・ブラッド
宮崎のどか,魔法先生ネギま!シリーズ
天羽雅音,ウィッチブレイド
香坂しぐれ,史上最強の弟子ケンイチ
リモネ,シムーン
頂の座ヘカテー/近衛史菜,灼眼のシャナ
ベディヴィエール,Fate/staynight※1
大庭月夜,スケッチブックFULLcolor's
四方茉莉,sola
アリス・ゲーハビッチ,爆丸バトルブローラーズ
武藤葵,もやしもん
城崎絵美,鉄のラインバレル
ティファニア・ウエストウッド,ゼロの使い魔
姫神秋沙,とある魔術の禁書目録
お静,ToLOVEる
乃木坂春香,乃木坂春香の秘密
黒沼爽子,君に届け
トモエ,クイーンズブレイド
チッソクノライヌ,けんぷファー
藤堂リリシア,生徒会の一存
弁天/鈴木聡美,有頂天家族
宗谷雪,大正野球娘。
パンデモニウムさん,銀魂
長宗我部元親,殿といっしょ
プーギー,ぎりぎりアイルー村
神無月葵,快盗天使ツインエンジェル
雪子姫,Dororonえん魔くんメ～ラめら
羽衣狐／山吹乙女,ぬらりひょんの孫
輪島巴,花咲くいろは
サテライザー=エル=ブリジット,フリージング
時籠ゆり,輪るピングドラム
フェリチータ,アルカナ・ファミリア
森下小麻,SKETDANCE
アリア,聖闘士星矢Ω
上杉謙信,戦国コレクション
菊川雪之,舞-HiME
カルト=ゾルディック,HUNTER×HUNTER(2011年版)
メイビス・ヴァーミリオン,FAIRY TAIL
納野サヤ,ブラック★ロックシューター
小田切学,少女ファイト
坂上あゆみ／キュアエコー,（NewStage以降）
浅上藤乃,空の境界
今川義元,織田信奈の野望
ニナ・フォルトナー(アンナ・リーベルト),MONSTER
8代目小嶋陽菜,AKB0048
不義雪姫,龍ヶ嬢七々々の埋蔵金
シェーレ,アカメが斬る!
佐々木雪成,GIRLSブラボー
コウタのママ,まじもじるるも
佐倉明,なるたる
桃生小鳥,X-エックス-
ネイロ,カイバ
浦添伊緒奈,selector_spread_WIXOSS(10話から)
フィール・ニルヴァレン,ノーゲーム・ノーライフ
ビブ,純潔のマリア
ソフィア・サハロフ,フューチャーカードバディファイト
マーシャ,プラスティック・メモリーズ
科戸瀬ユレ,シドニアの騎士
アインハルト・ストラトス,魔法少女リリカルなのはViVid※2
乾日向子,食戟のソーマ
アレックス・ベネデット,GANGSTA.
宗方名瀬,アイドルマスターXENOGLOSSIA
ミカ,ガールズ&パンツァー 劇場版
山岸由花子,ジョジョの奇妙な冒険 ダイヤモンドは砕けない
エルザ・グランヒルテ,Re:ゼロから始める異世界生活
西園梨々花,Occultic;Nine
カツユ,NARUTO
リスト,クラシカロイド
リリス,ワールドトリガー
花村かれん,リルリルフェアリル
ミリアム・C・タチバナ,アリスと蔵六
円谷環,ボールルームへようこそ
小山田耕太,かのこん
ニル,DOGS（OVA）
ユークレース,宝石の国
ナグリ・ドツーキ,ヘボット!
盛岡森子,ネト充のススメ
ピピ美,ポプテピピック※第11話Aパート
嘉村令裡,怪物王女
ヴェルダンディー,魔探偵ロキ
インカラマッ,ゴールデンカムイ
