先島光,凪のあすから
地紋明日汰,世界征服～謀略のズヴィズダー～
ウィーン/前田敦博,TARITARI
灰村切,断裁分離のクライムエッジ
界塚伊奈帆,アルドノア・ゼロ
金木研,東京喰種
天久将馬（画像右）,健全ロボダイミダラー
カルエル・アルバス（画像中央）,とある飛空士への恋歌
志島北斗,遊戯王ARC-V
新川恭二,ソードアート・オンラインⅡ
小湊春市,ダイヤのA
有馬公生,四月は君の嘘
三国,オレん家のフロ事情
虎崎葵,アブソリュート・デュオ
赤間遊兎,ミカグラ学園組曲
クウェンサー=バーボタージュ,ヘヴィーオブジェクト
エラム,アルスラーン戦記
タクミ・アルディーニ,食戟のソーマ
ジャコ,ドラゴンボールシリーズ
八神太一,デジモンアドベンチャーtri.
ニコラス・ブラウン(少年期),GANGSTA.
ビスケット・グリフォン,機動戦士ガンダム鉄血のオルフェンズ
星谷悠太,スタミュ
草壁信二郎,ハルチカ
焔魔堂ろくろ,双星の陰陽師
前田良樹,学園ハンサム
鳥束零太,斉木楠雄のΨ難
阿修悠太,B-PROJECT
ラビ,D.Gray-man HALLOW
めりぃ,枕男子
ミュトス,アクティヴレイド
花村望,リルリルフェアリル
リッケルト,終末のイゼッタ
真壁政宗,政宗くんのリベンジ
ジーク,Fate/Apocrypha
ユナ・D・海渡,カードキャプターさくら
チャクロ,クジラの子らは砂上に歌う
佐々木琲世,東京喰種:re
奥入祐,イナズマイレブン アレスの天秤
竈門炭治郎,鬼滅の刃
"",""
"",""
