守凪了子/カミナギ・リョーコ,ゼーガペイン
水無月ミーナ,月面兎兵器ミーナ
梶原空,スケッチブックFULLcolor's
ぽてまよ,ぽてまよ
杏本詩歌/ふゆほたる,ムシウタ
アンジェリカ,ガンスリンガーガール(2期)
ざんげちゃん/涼城白亜,かんなぎ
乱崎優歌,狂乱家族日記
諏訪天姫,ストライクウィッチーズ
草野,セキレイ
結城美柑,ToLOVEる -とらぶる-
エレア,ブラスレイター
鈴木ソラ,魔法遣いに大切なこと
斑鳩かごめ,明日のよいち!
花戸小鳩,こばと。
蘇芳・パヴリチェンコ,DARKER THAN BLACK 流星の双子
ヘナロ,ドルアーガの塔
千石撫子,化物語
ココ・JD,バスカッシュ!
シャロン=レインズワース,PandoraHearts
双葉アオイ,あそびにいくヨ!
天使/立華奏,AngelBeats!
薄蛍,おとめ妖怪ざくろ
黒猫/五更瑠璃,俺の妹がこんなに可愛いわけがない
汐宮栞,神のみぞ知るセカイ
倉下月海,海月姫
成瀬こずえ,世紀末オカルト学院
御手洗史伽,聖痕のクェイサー
園原杏里,デュラララ!!
春上衿衣,とある魔術の禁書目録/とある科学の超電磁砲
杜山しえみ,青の祓魔師
シャルロット・デュノア(シャルル・デュノア),インフィニット・ストラトス
不破愛花,絶園のテンペスト
日向まひる,神様ドォルズ
篠宮綾瀬,ギルティクラウン
秋月真理亜,新世界より
シロ,デッドマン・ワンダーランド
ノワール・ヴィノカカオ,DOG DAYS
ネッサ,フラクタル-FRACTALE-
ラナ=リンチェン,フリージング
松隆奈々子,変ゼミ
羽瀬川小鳩,僕は友達が少ない
坂町紅羽,まよチキ!
宮田夕紀,もし高校野球の女子マネージャーがドラッカーの『マネジメント』を読んだら
森田真由,森田さんは無口
湊智花,ロウきゅーぶ!
ゼシカ・ウォン,アクエリオンEVOL
髏々宮カルタ,妖狐×僕ss
ロマリー・ストーン,機動戦士ガンダムAGE
松実玄,咲-Saki-阿知賀編episode of side-A
安形紗綾,SKETDANCE
天城小葉,ZETMAN
徳川家康,戦国コレクション
花咲ラン,ダンボール戦機W
当子内親王,うた恋い。
桜市子,貧乏神が!
黒衣マト/ブラック★ロックシューター,ブラック★ロックシューター
チアキ・クリハラ,モーレツ宇宙海賊
サクヤ,.hack//Quantum
天野遠子,“文学少女”シリーズ
沙条綾香,Fate/Prototype
観月,BabyPrincess
花籠凛咲,流れ星レンズ
ユキ,センコロール
クレオ・サーブラフ,ブレイクブレイド
常守朱,PSYCHO-PASS
邪神かがみ,ささみさん@がんばらない
メイメイ,しろくまカフェ
土御門夏目,東京レイヴンズ
練紅玉,マギ
マリー,メカクシティアクターズ
火垂,機巧少女は傷つかない
向井戸まなか,凪のあすから
小野寺小咲,ニセコイ
横井るみ,となりの関くん
柴崎芦花,ディーふらぐ!
深作葵,コッペリオン
中沢農,のうりん
ナターシャ/ウーム教授,世界征服～謀略のズヴィズダー～
奈須まゆか,バディ・コンプレックス
アデリー,スペース☆ダンディ
七草真由美,魔法科高校の劣等生
河合律,僕らはみんな河合荘
盗賊山恵,彼女がフラグをおられたら
星埜ダルク,龍ヶ嬢七々々の埋蔵金
神代利世,東京喰種
花園さくら,会長はメイド様!
セリュー・ユビキタス,アカメが斬る!
ORASハルカ,ポケモンORASショートアニメ
ミナミ,ポケモンレンジャー光の軌跡
御舟百合子,琴浦さん
乃木園子,勇者であるシリーズ
村野里美,寄生獣 セイの格率
フィリル・クレスト,銃皇無尽のファフニール
エゼキエル,純潔のマリア
飛鳥美琴,山田くんと7人の魔女
櫻田茜,城下町のダンデライオン
緑川花,監獄学園
ジエメイ,うしおととら（TVアニメ版）
　木虎藍,ワールドトリガー
小早川夕夏,少女たちは荒野を目指す
コードΩ46セニア,アンジュ・ヴィエルジュ
成瀬優(ゆうちゃん),私がモテないのはどう考えてもお前らが悪い!
板東まりも,てーきゅう/うさかめ
未央子(MIO5),おじさんとマシュマロ
ゲルサドラ（少年態）,ガッチャマンクラウズ
ゼーラ,FAIRYTAIL（画像左）
ガラハッド,弱酸性ミリオンアーサー
ルーシー・M,文豪ストレイドッグス
キスキル・リラ,webアニメモンスト
琉璃,雏蜂
彼女,彼女と彼女の猫(TVアニメ版)
川本ひなた,3月のライオン
ゼウシくん,おにくだいすき!ゼウシくん
高宮菜穂,orange
エルヴィラ・フリードマン,終末のイゼッタ
ラフィエル,ガヴリールドロップアウト
カヤ,暁のヨナ（OAD）
尾城小梅,天使の3P!
春埼美空,サクラダリセット
松坂さとう,ハッピーシュガーライフ
カトリーエイル・レイトン,レイトンミステリー探偵社 カトリーのナゾトキファイル
皆川由紀,徒然チルドレン
ベル・リン,Infini-TForce
赤血球,はたらく細胞
大島千づる,となりの怪物くん
中野一花,五等分の花嫁
