棗亜夜,天上天下
長門有希,涼宮ハルヒシリーズ
北条比奈,らぶドル ～Lovely Idol～
張飛益徳,一騎当千
白河ななか,D.C.Ⅱ
トア,ドラゴノーツ
南千秋,みなみけ
岩崎みなみ,らき☆すた
土宮神楽,喰霊-零-
クーパ,ドルアーガの塔
さくたろう,うみねこのなく頃に
龍門渕透華,咲-Saki-
梔,NEEDLESS
中川美風,世紀末オカルト学院
テレサ＝ベリア,聖痕のクェイサー
葉山奈由,ちゅーぶら!!
緒方愛梨,みつどもえ
鬼頭先生,Aチャンネル
ホライゾン・アリアダスト,境界線上のホライゾン
村正このは,C3 -シーキューブ-
那須原アナスタシア,お兄ちゃんだけど愛さえあれば関係ないよねっ
悪魔型ストラーフ,武装神姫
ミーゼラ・セレステラ,宇宙戦艦ヤマト2199
河合ツバサ,今日の5の2(OVA)
マーガレット・ムーンライト,ノーモア★ヒーローズ2(OVA)
レイツェル,ファイ・ブレイン
名瀬美月,境界の彼方
イチヒメ,ノブナガ・ザ・フール
誘宵美九,デート・ア・ライブ
ミランダ,クロスアンジュ天使と竜の輪舞
中世古香織,響け!ユーフォニアム
エリカ・ブラウン,ヴァイオレット・エヴァーガーデン
現見ケミィ,僕のヒーローアカデミア
