五和,とある魔術の禁書目録
本間芽衣子,あの日見た花の名前を僕達はまだ知らない。
史場日々乃,神様ドォルズ
篠崎彩夏,神様のメモ帳
高橋里奈,君と僕。
楪いのり,ギルティクラウン
桜満真名,ギルティクラウン
早乙女浪漫,SKETDANCE
大江奏,ちはやふる
正倉院笹鳴,猫神やおよろず
白梅梅,ベン・トー
橘勇魚,夢喰いメリー
ミリア・イル・ヴェルク・クトレットラ・トゥラン,ラストエグザイル-銀翼のファム-
御庄寺多恵※画像右,ロウきゅーぶ!
ミコノ・スズシロ,アクエリオンEVOL
樹下佳織,あの夏で待ってる
武部沙織,ガールズ&パンツァー
椎名ましろ,さくら荘のペットな彼女
キアラ・トスカナ,灼眼のシャナIII -FINAL-
橘めい,好きっていいなよ。
伊原摩耶花,氷菓
喜界島もがな,めだかボックス
アイ・ホシミヤ,モーレツ宇宙海賊
ムギナミ,輪廻のラグランジェ
ぽのか先輩,あいまいみー
エム/織斑マドカ,インフィニット・ストラトス
姫萩紅葉,犬とハサミは使いよう
冬海愛衣,俺の彼女と幼なじみが修羅場すぎる
櫻井アイナ,革命機ヴァルヴレイヴ
ピノ,革命機ヴァルヴレイヴ
林田奈々,ゴールデンタイム
山神ルーシー貴美子(略),サーバント×サービス
ローサ,ジュエルペット
サーヤ,翠星のガルガンティア
斉藤マコ,超青春姉弟s
初瀬カリラ,ステラ女学院高等科c3部
暁切歌,戦姫絶唱シンフォギアG
3代目魔王ルキメデス,戦勇。
てへっち,たまごっち
三谷かなえ,たまゆら
比良平ちさき,凪のあすから
いろり,機巧少女は傷つかない
相川千穂,ゆゆ式
V・りら・F,夜桜四重奏～ハナノウタ～
槙田悠里,アオハライド
ダルザナ・マグバレッジ,アルドノア・ゼロ
多華宮霞,ウィッチクラフトワークス
三田亜由美,オオカミ少女と黒王子
魔法ヶ沢茜,彼女がフラグをおられたら
シノダ・エリ,ガンダムビルドファイターズトライ
夢塔ハナ,キャプテン・アース
金阿弥明,新ケロロ
保登モカ,ご注文はうさぎですか?
小笠原綸子,SHIROBAKO
あるぴん,SHIROBAKO
笹崎岬,ストライク・ザ・ブラッド
植村一衣,selector infected WIXOSS
古宮花織※画像左,天体のメソッド
シーラ・レヴィット,テラフォーマーズ
白,ノーゲーム・ノーライフ
ソフィーヤ=オベルタス,魔弾の王と戦姫
オマモリサマ,うしおととら
天海悠紀華,俺物語!!
佐倉慈,がっこうぐらし!
霞ヶ丘詩羽,冴えない彼女の育てかた
相座凪,四月は君の嘘
櫻田葵,城下町のダンデライオン
ツキノ,SHOWBYROCK!!
榊涼子,食戟のソーマ
アスフィ・アル・アンドロメダ,ダンジョンに出会いを求めるのは間違っているだろうか
佐々木志乃,緋弾のアリアAA
キョウカ※画像左,FAIRYTAIL
鳴海クルミ,ミカグラ学園組曲
大木双葉,あまんちゅ!
イリーナ※画像右,アルスラーン戦記 風塵乱舞
ダクネス,この素晴らしい世界に祝福を!
照橋心美,斉木楠雄のΨ難
川本あかり,3月のライオン
松永希美,虹色デイズ
遠山りん,NEWGAME!
チト※画像右,ふらいんぐうぃっち
セレンディーネ,マギ シンドバッドの冒険
剣しおり,ラクエンロジック
日代千鶴,ReLIFE
棗ニナ,うらら迷路帖
アリーシャ・ディフダ,テイルズオブゼスティリアザクロス
如月すみれ/エンジェルサファイア,ツインエンジェルBREAK
ダイヤモンド,宝石の国
界堂笑,Infini-TForce
後輩ちゃん※画像左,月曜日のたわわ
アイシェ,将国のアルタイル
清滝桂香,りゅうおうのおしごと!
ミミ,フリップフラッパーズ
マリーネ・クライシェ,グランクレスト戦記
アリス・ツーベルク,ソードアート・オンラインアリシゼーション
桜雨キリヱ,UQ_HOLDER!
北条璃々,ハンドシェイカー
椎名茉莉,すのはら荘の管理人さん
柏木カエデ,ミイラの飼い方
ジュリエット・ペルシア,寄宿学校のジュリエット
セシル・スー,重神機パンドーラ
志波姫唯華,はねバド!
