甲斐,AKIRA
キリヒト,悪魔くん(右下)
アドル・クリスティン,Ys(OVA)
ココ/小々田コージ,Yes!プリキュア5
蛮骨,犬夜叉
馬場ラムネ,NG騎士ラムネ&40
ドレル・ロナ,機動戦士ガンダムF91
深町晶,強殖装甲ガイバー(OVA)
一文字號,ゲッターロボ號
ドクク,ケロロ軍曹
ドロロ兵長,ケロロ軍曹
マオ,コードギアス 反逆のルルーシュ
紅孩児,最遊記
ヒョーゴ,SAMURAI7
西園寺莢一,少女革命ウテナ
フェニックス/大聖フェニックス,スーパービックリマン
浅月香介,スパイラル～推理の絆～
虎金井天下,すもももももも
桜木花道,スラムダンク
狼星座の那智,聖闘士星矢
山羊座のシュラ,聖闘士星矢(OVA)/聖闘士星矢 黄金魂 -soul of gold-
邪武,聖闘士星矢Ω
夏侯惇,蒼天航路
魏志軍,DARKER THAN BLACK -黒の契約者-
タンタン,タンタンの冒険
クラッド,D・N・ANGEL
蒼沼キリハ,デジモンクロスウォーズシリーズ
バリスタモン,デジモンクロスウォーズシリーズ
トランクス,ドラゴンボールZ
馬場ラムネード,VS騎士ラムネ&40炎
天児スサノ,祝（ハピ☆ラキ）ビックリマン
ヤマト王子,祝（ハピ☆ラキ）ビックリマン
牛若天子,ビックリマン
ロズゴート,冒険王ビィト
ドッキー,ミッドナイトホラースクール
浦島太郎,桃太郎伝説 PEACHBOY LEGEND
グリーンレイカー,勇者エクスカイザー
真田遼/烈火のリョウ,鎧伝サムライトルーパー
サリエル,よんでますよ、アザゼルさん。
真之介,らんま1/2(OVA)
香取石松,リングにかけろ
パーン,ロードス島戦記(OVA)
忍田真史,ワールドトリガー
コーザ,ONEPIECE
ハグワール・D・サウロ,ONEPIECE
青魔鬼,桃太郎伝説PEACHBOYLEGEND
東龍司,Free!-Dive to the Future-
"",pixivimage::s]
