五百川からだ,あさっての方向。
神凪綾乃,風の聖痕
春風千桜,ハヤテのごとく!
乱崎凶華,狂乱家族日記
梅枝ナオミ,絶対可憐チルドレン
清水雷鳴,隠の王
オフィーリア,アラド戦記
セシリー・キャンベル,聖剣の刀鍛冶
尾張記子,大正野球娘。
千倉名央,初恋限定。
花天狂骨,BLEACH
飛梅,BLEACH
ニッチ,テガミバチ
鮎沢美咲,会長はメイド様!
相沢栄子,侵略!イカ娘
小沢晴香,心霊探偵八雲
織部まふゆ,聖痕のクェイサー
吹寄制理,とある魔術の禁書目録
岩瀬愛子,バクマン。
ニーソックス,パンティ&ストッキングwithガーターベルト
中森青子（3代目）,まじっく快斗
米里イチ,モブサイコ100
グリゼルダ・レギンハルト,アスタロッテのおもちゃ!
夏目貴志（少年時代）,夏目友人帳
MIX/MIXY,アクエリオンEVOL
マギー・クァン,エウレカセブンAO
オードリー・バーン,機動戦士ガンダムUC
メアリ,.hack//Quantum
黒桐鮮花,空の境界
古代美雪,宇宙戦艦ヤマト復活篇
ネフェルピトー,HUNTER×HUNTER（2011年版）
満艦飾又郎,キルラキル
鳳凰丸礼,キルラキル
ストライカー,翠星のガルガンティア
レーネ・クラインベック,バディ・コンプレックス
京田,ドキドキ!プリキュア
ジャン=ピエール・ポルナレフ（アレッシーモード）,ジョジョの奇妙な冒険 スターダストクルセイダース
こはる,NORN9
メグミ(GuP),ガールズ&パンツァー
鴫野颯斗,Free!-Eternal Summer-
