蟹沢きぬ,つよきす
小鳥桃葉,がくえんゆーとぴあ まなびストレート!
七海アオ,夜桜四重奏
トモ子,そらのおとしもの
弥生水奈,ときめきメモリアルOnlylove
聖辺ルリ,デュラララ!!
ミルク・カラード,伝説の勇者の伝説
伊波まひる,WORKING!!
巽キマリ,バトルスピリッツ覇王
杉浦綾乃,ゆるゆり
氷柱,BabyPrincess
ティナ,ペーパーマン
ななこ,放課後のプレアデス
飛鳥,武装神姫
メロウ,ノーラと刻の工房
ハルカ,超速変形ジャイロゼッター
ユミル,進撃の巨人
ドナドナ,ジュエルペット/スウィーツペット
乙姫,波打際のむろみさん
ヒュウガ,蒼き鋼のアルペジオ -アルス・ノヴァ-
マジカルスター咲,最強銀河究極ゼロバトルスピリッツ
末続このは,未確認で進行形
園田美月,桜Trick
クマリン,GON
キジマ・シア,ガンダムビルドファイターズトライ
自律思考固定砲台,暗殺教室
忌村静子,ダンガンロンパ3
北郷章香,ブレイブウィッチーズ
琴爪ゆかり/キュアマカロン,キラキラ☆プリキュアアラモード
父の仇女さん,殺し屋さん
佐々木利佳※,カードキャプターさくら クリアカード編
カンナ,ヒミツのここたま
発音ミク,新幹線変形ロボ_シンカリオン_THE_ANIMATION
