河野サキ/イレイザークイーン,超速変形ジャイロゼッター
松原穂乃花,きんいろモザイク
寒咲幹,弱虫ペダル
東兎角,悪魔のリドル
忍者林瑠璃,彼女がフラグをおられたら
鈴木いくみ,人生相談テレビアニメーション「人生」
徳川まつり,アイドルマスターミリオンライブ!
矢田桃花,暗殺教室
橘巴,アブソリュート・デュオ
春日聖,トリニティセブン
見城ひびき,ヴァルキリードライヴマーメイド
冴嶋閑,ファントムブレイカー
オット・モトー,コメット・ルシファー
三日月・オーガス（幼少期）,機動戦士ガンダム鉄血のオルフェンズ
泉澄リナ/RINA,ファンタシースターオンライン2 ジ アニメーション
越前,田中くんはいつもけだるげ
黒田ミカヅキ/ゴモラ,怪獣娘〜ウルトラ怪獣擬人化計画〜
白姫,ランス・アンド・マスクス
皇まとい,装神少女まとい
ミキ,鬼灯の冷徹
島桜ゆゆこ、豊見城亜樹、三好環奈,アクティヴレイド
クリス,この素晴らしい世界に祝福を!
エリス,この素晴らしい世界に祝福を!
色井佐久,うらら迷路帖
八坂ひみ,ミカグラ学園組曲
サファイア,ラストピリオド
モジャ,不機嫌なモノノケ庵
池田晶,りゅうおうのおしごと!
