ジェハ,暁のヨナ
ドナール・ダンテス,アクエリオンEVOL
犬飼恵介,悪魔のリドル
グロッシュラー,ACCA13区監察課
梵天,あまつき
店主,異世界食堂
中里毅,新劇場版 頭文字D
架院暁,ヴァンパイア騎士
フォムト・バーガー,宇宙戦艦ヤマト2199
下鴨矢一郎,有頂天家族
桃生封真,X
成田隼人,俺たちに翼はない
黒白,カーニヴァル
小室孝,学園黙示録 HIGHSCHOOL OF THE DEAD
カタナ,ガドガード
悪羅王/霧仁,神様はじめました
タイガーウルフ,ガンダムビルドダイバーズ
スティング・オークレー,機動戦士ガンダムSEED DESTINY
ウォリック・アルカンジェロ,GANGSTA.
因幡洋,キューティクル探偵因幡
オーベルシュタイン,銀河英雄伝説 Die Neue These
ルメス,銀河機攻隊マジェスティックプリンス
昌平君,キングダム
鯉淵修,海月姫
ドヴォルザーク,クラシカロイド
青峰大輝,黒子のバスケ
葬儀屋,黒執事
伊丹耀司,GATE 自衛隊彼の地にて、斯く戦えり
司馬宙,鋼鉄神ジーグ
世界を食い尽くせ,SERVAMP -サーヴァンプ-
流れ星のキリガ,最強銀河究極ゼロバトルスピリッツ
桂木淳一,坂道のアポロン
アンディ・ヒノミヤ,THE UNLIMITED 兵部京介
壬生貞比呂,屍姫
フリアグネ,灼眼のシャナ
アルノルト・ベルクマン,終末のイゼッタ
アビリガ,将国のアルタイル
葉山アキラ,食戟のソーマ
レオーネ・アバッキオ,ジョジョの奇妙な冒険 黄金の風
テレンス・T・ダービー,ジョジョの奇妙な冒険 スターダストクルセイダース
鳳樹,スタミュ-高校星歌劇-
ダンディ,スペース☆ダンディ
エデン,聖闘士星矢Ω
天獣星のファラオ,聖闘士星矢 冥王ハーデス編(OVA)
鎖部夏村,絶園のテンペスト
フラウ,07-GHOST
天若清弦,双星の陰陽師
逆蔵十三,ダンガンロンパ3
在原業平,超訳百人一首 うた恋い。
跡部景吾,テニスの王子様
峰津院大和,DEVIL SURVIVOR 2 the ANIMATION＊1
高橋鉄男,亜人ちゃんは語りたい＊2
ミラン・フロワード,伝説の勇者の伝説
ギオ,ドラゴノーツ
カイン・ナイトロード,トリニティ・ブラッド
的場静司,夏目友人帳
清水雷光,隠の王
滝川一益,信長の忍び
グリード,鋼の錬金術師
玉鼎真人,覇穹 封神演義
福田真太,バクマン。
ロベルト・ニコラス,バチカン奇跡調査官
ギャラクシー渡辺,バトルスピリッツシリーズ
ブリンガー,バトルスピリッツソードアイズ
リィン・レジオスター,ハヤテのごとく!
レイム=ルネット,PandoraHearts
阿字野壮介,ピアノの森
吉田稔麿,PEACE MAKER鐵
中条伸人,BUS GAMER
フリード・ジャスティーン,FAIRY TAIL
黒のセイバー,Fate/Apocrypha＊3
マドワルド・ザーギン,ブラスレイター
ヤミ・スケヒロ,ブラッククローバー
グリムジョー・ジャガージャック,BLEACH
久我恭介,プリンス・オブ・ストライド
織田作之助,文豪ストレイドッグス
シュウ,北斗の拳イチゴ味＊4
リュウロウ,北斗の拳 ラオウ外伝 天の覇王
相澤消太,僕のヒーローアカデミア
ジャミル,マギ
源忠勝,真剣で私に恋しなさい!!
十文字克人,魔法科高校の劣等生
三鍋友紀也,メガネブ!
黒神真黒,めだかボックス
白銀,モノクローム・ファクター
軍医,ヤングブラック・ジャック＊5
ヴィクトル・ニキフォロフ,ユーリ!!! on ICE
ライフ・セクシー,ユリ熊嵐
寒咲通司,弱虫ペダル
猫屋敷蓮,レンタルマギカ
二宮匡貴,ワールドトリガー
ヴェルゴ,ONE PIECE
