クララ,海月姫
ニーナ・タッカー,鋼の錬金術師 FULLMETAL ALCHEMIST
リロ,リロ&スティッチ
マル,メタルファイトベイブレードZERO-G
ゲノセクト（アクアカセット）,神速のゲノセクト、ミュウツー覚醒
星宮いちご,アイカツ!
姫巫女,織田信奈の野望
鷹ノ宮ありさ,お兄ちゃんだけど愛さえあれば関係ないよねっ
ドッグちゃん,遊戯王ZEXAL
陣内真緒,サマーウォーズ
日野美羽,蒼穹のファフナー HEAVEN AND EARTH
天使聖羅,GJ部
ヴァネロペ・フォン・シュウィーツ,シュガー・ラッシュ
莉莉,No.6
鶴見留美,やはり俺の青春ラブコメはまちがっている。
ヨヨ,魔女っこ姉妹のヨヨとネネ
笛口雛実,東京喰種
ラプンツェル(幼少期),塔の上のラプンツェル(日本語吹き替え版)
綾月芽衣,劇場版 明治東亰恋伽
アナ(子供時代),アナと雪の女王(日本語吹き替え版)
チコ,バケモノの子
谷地仁花,ハイキュー!!
泉鏡花,文豪ストレイドッグス
ウサチャ（真ん中）,プリパラ
如月ツバサ,アイカツスターズ!
高梨舞矢（右の人）,異能バトルは日常系のなかで(第6話)
コヨリ,ハンドシェイカー
赤城真子,ボールルームへようこそ
菊,おそ松さん(2期18話)
ポプ子,ポプテピピック ※第8話Aパート
ララ（モーリーファンタジーマスコットキャラ）,ラララ ララちゃん
アン・マグノリア,ヴァイオレット・エヴァーガーデン
ココ,アイカツフレンズ!
アセロラ,サン&ムーン
アリス,ふしぎの国のアリス(ドリーミング・アップ)
エマ,約束のネバーランド
