アリス,アリスSOS
綾小路ひなた,探偵少年カゲマン
ミリアリア・ハウ,機動戦士ガンダムSEED
レイラ・アシュレイ,AVENGER
ウィンリィ・ロックベル,鋼の錬金術師(2003年版)
メグ,爆裂天使
佐藤聖,マリア様がみてる
西野つかさ,いちご100%
寿蘭,GALS!
イレーヌ,BLOOD+
火乃香,ザ・サード
ミランダ・ロットー,D.Gray-man(2006年版)
レヴィ,ブラックラグーン
ヒカリ,ポケットモンスター ダイヤモンド&パール
十三姫,彩雲国物語
千葉紀梨乃,バンブーブレード
絵石家由香,魔人探偵脳噛ネウロ
フブキ,仮面のメイドガイ
クラン・クラン,マクロスF
百琳,無限の住人
アリア,聖剣の刀鍛冶
ロッティ,PandoraHearts
孟優,一騎当千
渋谷尭深,咲-Saki-
ホタル,NARUTO
織斑千冬,インフィニット・ストラトス
セイレーン/黒川エレン/キュアビート,スイートプリキュア
織田ノブナガ,戦国乙女
冷麗,ぬらりひょんの孫
ソラウ・ヌァザレ・ソフィアリ,Fate/Zero
毒ヶ峰リルカ,BLEACH
グレイス・オマリ,境界線上のホライゾン
ミヒロ・オイワッケン,機動戦士ガンダムUC
キラリっち,たまごっち
桐崎華,ニセコイ
戦刃むくろ,ダンガンロンパ3絶望編
フェアリルマージ、ダンテ、あこや、ラフレ,リルリルフェアリル
ユラノ,かみさまみならい ヒミツのここたま
東方朋子,ジョジョの奇妙な冒険 ダイヤモンドは砕けない
マギー,クロスアンジュ天使と竜の輪舞
桑乃実カヅキ,プラスティック・メモリーズ
千石千尋,さくら荘のペットな彼女
サヤ=ミナツキ,BLACKCAT
イレーヌ・スミルノフ,マギ
真壁紅音/ミョルニア,蒼穹のファフナー（※画像左）
ギド,MAR
アリア,聖剣の刀鍛冶
東条ハナ,ウマ娘プリティーダービー
岩瀬恭子,頭文字D 4th Stage
"",""
"",""
