蜷川あむろ,ケンコー全裸系水泳部ウミショー
スゥ,しゅごキャラ!
吉野,みなみけ
プー,ネットゴーストPIPOPA
アスモデウス,うみねこのなく頃に
中町かな,かなめも
平沢唯,けいおん!
リサ,聖剣の刀鍛冶
初春飾利,とある科学の超電磁砲
別所小宵,初恋限定。
メルウィン,あそびにいくヨ!
曽我けーな,いちばんうしろの大魔王
竜宮乙姫,オオカミさんと七人の仲間たち
雪洞,おとめ妖怪ざくろ
兵藤さつき,会長はメイド様!
山辺燈,聖痕のクェイサー
カオス,そらのおとしもの
吉岡ゆき,みつどもえ
モモ・ベリア・デビルーク,ToLOVEる
因果,UN-GO
長瀬純,神のみぞ知るセカイ
しゃも,猫神やおよろず
押水菜子,花咲くいろは
邦枝葵,べるぜバブ
荻野目桃果,輪るピングドラム
池田千歳,ゆるゆり
ファム・ファン・ファン,ラストエグザイル-銀翼のファム-
チユリ（倉嶋千百合）,アクセル・ワールド
小人村ちの,妖狐×僕SS
ミリム,クイーンズブレイドリベリオン
永瀬伊織,ココロコネクト
環凛子,夏色キセキ
黒神めだか,めだかボックス
竹田千愛,文学少女シリーズ
嘉村令裡,怪物王女(OVA)
彩園すず,かってに改蔵
混沌の巫女ランシェル&スーシェル,クイーンズブレイド スパイラルカオス
リーゼロッテ・W・ドルシア,革命機ヴァルヴレイヴ
直江兼続,百花繚乱サムライガールズ
アイ・アスティン,神様のいない日曜日
千早恵,サーバント×サービス
コン,東京レイヴンズ
ぽっぽ(幼少期)(画像上),あの日見た花の名前を僕達はまだ知らない。
小福,ノラガミ
科戸瀬イザナ,シドニアの騎士
龍騎士原月麦,彼女がフラグをおられたら
内木デー太,オレカバトル
伊吹萃香,夢想夏郷
水坂柚季,天体のメソッド
沙条愛歌,Fate/prototype
チョロネコ,劇場版ポケットモンスター ベストウイッシュ ビクティニと黒き英雄ゼクロム・ビクティニと白き英雄レシラム
船堀,ディーふらぐ!
荒木光太郎,電波教師
セイラ,FAIRYTAIL
柳瀬川八重子,テラフォーマーズ
メロリー,かみさまみならい ヒミツのここたま
マルルク,メイドインアビス
鬼野笑美,コンクリート・レボルティオ
檜山勇,うしおととら（TVアニメ版）
軍服の姫君,Re:CREATORS
合田美桜,告白実行委員会
エルエル,アンジュ・ヴィエルジュ
のんちゃん,プリプリちぃちゃん!!
早瀬真理,タイムトラベル少女～マリ・ワカと8人の科学者たち～
ジャニス,プリパラ
ゆんゆん,この素晴らしい世界に祝福を!
皆川茜,クズの本懐
パオパオ,ドラえもん
樫村早苗,アリスと蔵六
犬山あおい,ゆるキャン△
シャルロット,ベルセルク
道行天尊,覇弓封神演義
ムエッタ/雪姫,クロムクロ
