折部やすな,キルミーベイベー
こしばけんと,しまじろうのわお!
板場弓美,戦姫絶唱シンフォギア
丹生谷森夏,中二病でも恋がしたい!
原田真希※画像右,モーレツ宇宙海賊
春咲千和,俺の彼女と幼なじみが修羅場すぎる
池上ユミ,ぎんぎつね
絹旗最愛,とある科学の超電磁砲S
しめじ,ファンタジスタドール
真木夏緒,恋愛ラボ
神堂慧理那,俺、ツインテールになります。
狩宿巴,咲-Saki- 全国編
ソラノ・アカネ,白銀の意思アルジェヴォルン
蒼井晶,selector infected WIXOSS
小坂依子※画像左,東京喰種トーキョーグール
有川かぐや,ひめゴト
エルネスタ・キューネ,学戦都市アスタリスク
波島出海,冴えない彼女の育てかた
薙切アリス,食戟のソーマ
ヤマト・命,ダンジョンに出会いを求めるのは間違っているだろうか
絹島ミチル,プラスティック・メモリーズ
百武照,ステラのまほう
片桐愛梨,僕だけがいない街
ユリシア・ファランドール,魔装学園H×H
フェルト,Re:ゼロから始める異世界生活
フィオレ・フォルヴェッジ・ユグドミレニア,Fate/Apocrypha
九重八重,異世界はスマートフォンとともに。
緋山千夏,ボールルームへようこそ
フカ次郎/篠原美優,SAOAGGO
尾張ハジメ,だがしかし2
