バロン・リックス,赤い光弾ジリオン
クルーテオ,アルドノア・ゼロ
浅野學峯,暗殺教室
ジュウベエ,からくり剣豪伝ムサシロード
トロイダル,機甲警察メタルジャック
イズナリオ・ファリド,機動戦士ガンダム鉄血のオルフェンズ
星海坊主,銀魂
ザ・ホークマン,キン肉マン キン肉星王位争奪編
テリーマン,キン肉マン キン肉星王位争奪編
レイ・アクティル,黒魔女さんが通る!!
三輪一言,K
香風タカヒロ,ご注文はうさぎですか?
祭礼の蛇,灼眼のシャナ
ドル・ガイスト,獣神ライガー
ギャブレット・ギャブレー,重戦機エルガイム
ヴァニラ・アイス,ジョジョの奇妙な冒険 スターダストクルセイダース
バーン・バニングス,聖戦士ダンバイン
バイアン,聖闘士星矢
時貞,聖闘士星矢Ω
桂木桂,超時空世紀オーガス
マクシミリアン・ジーナス,超時空要塞マクロス
ワイズモン,デジモンクロスウォーズ
グレートダ・ガーンGX,伝説の勇者ダ・ガーン
ニコラス・D・ウルフウッド,トライガン
ザーボン,ドラゴンボールZ
サウザー,劇場版ドラゴンボールZ とびっきりの最強対最強
フェイス,ドラミちゃん 青いストローハット
ベクタープライム,トランスフォーマー ギャラクシーフォース
マジック,南国少年パプワくん
フランク・アーチャー,鋼の錬金術師（2003年版）
薬師寺天膳,バジリスク〜甲賀忍法帖〜
ガルドス・ランダル,バトルスピリッツ ソードアイズ
一夜=ヴァンダレイ=寿,FAIRY TAIL
遠坂時臣,Fate/Zero
サーロイン,ふたりはプリキュアSplash☆Star チクタク危機一髪!
菅生修/ナイト・シューマッハ,新世紀GPXサイバーフォーミュラ
ドクター・キリコ,ブラックジャック21
藍染惣右介,BLEACH
アダン,ポケットモンスター アドバンスジェネレーション
直江信綱,炎の蜃気楼
ポプ子,ポプテピピック第12話Bパート
諸伏高明,名探偵コナン
鋼流星,メタルファイト ベイブレード
邑輝一貴,闇の末裔
グレートエクスカイザー,勇者エクスカイザー
諸葛亮孔明,横山光輝 三国志
