真田ユキ,つり球
加藤希里,SKETDANCE
佐々原宗平（ササヤン）,となりの怪物くん
真奥貞夫/サタン,はたらく魔王さま!
マルコ・ボット,進撃の巨人
姫小路秋人(画像右),お兄ちゃんだけど愛さえあれば関係ないよねっ
季堂鋭太(イラスト左),俺の彼女と幼なじみが修羅場すぎる
穴吹奈津,ぺろぺろ男子
時縞ハルト,革命機ヴァルヴレイヴ
瀬名アラタ,ダンボール戦機ウォーズ
スフィントス=カーメン,マギ
まかなかった世界の桜田ジュン,ローゼンメイデン
ブラッド・チャーリー・スタズ,ブラッドラッド
橘清音,ガッチャマンクラウズ
沢村栄純,ダイヤのA
伊佐木要,凪のあすから
新本チカ,超青春姉弟s
ファング,フェアリーフェンサーエフ
マルク,ジョジョの奇妙な冒険
谷風長道,シドニアの騎士
小竜,ログ・ホライズン
ナイス,ハマトラ
旗立颯太,彼女がフラグをおられたら
村上良太（画像左）,極黒のブリュンヒルデ
カンザイ,HUNTER×HUNTER(2011年版)
ススム・トキムネ,白銀の意思アルジェヴォルン
クリム・ニック,Gのレコンギスタ
磯貝悠馬,暗殺教室
沖倉駆,グラスリップ
ゼン・ウィスタリア・クラリネス,赤髪の白雪姫
クランカイン,ALDNOAH.ZERO
山田竜,山田くんと7人の魔女
黛千尋,黒子のバスケ
カイ,SHOWBYROCK!!
赤葦京治,ハイキュー!!
押本陽太(画像左),てーきゅう
杜綱悟,うしおととら（TVアニメ版）
黒鉄一輝,落第騎士の英雄譚
日向晶也(イラスト右),蒼の彼方のフォーリズム
巣刈,甲鉄城のカバネリ
花崎健介（イラスト左）,TRICKSTER～江戸川乱歩「少年探偵団」
ハッシュ・ミディ,機動戦士ガンダム鉄血のオルフェンズ
クロス,劇場版ポケットモンスター　キミにきめた!
八王子睦,ALLOUT!!
清洲リュウジ,新幹線変形ロボ_シンカリオン_THE_ANIMATION
王魔,覇穹封神演義
シャフリヤール(GBD),ガンダムビルドダイバーズ
唯我成幸,ぼくたちは勉強ができない
