絹江・クロスロード,機動戦士ガンダム00
高良みゆき,らき☆すた
松,セキレイ
スモモ,ポケットモンスター ダイヤモンド&パール
シェリル・ノーム,マクロスF
南ゆうき,かなめも
神凪いつき,宇宙をかける少女
鉄装綴里,とある科学の超電磁砲
クルス・シルト,NEEDLESS
日和号,刀語
フィリシア・ハイデマン,ソ・ラ・ノ・ヲ・ト
オルソラ=アクィナス,とある魔術の禁書目録
兵堂剣蔵,バトルスピリッツ少年激覇ダン
クイーン・バービィ,パンティ&ストッキングwithガーターベルト
エミリー・アモンド/エミリー・アスノ,機動戦士ガンダムAGE
ユノア・アスノ,機動戦士ガンダムAGE(第3部)
憂木沙夜,HIGHSCORE
エンギ・スリーピース,夢喰いメリー
アンネロッテ,クイーンズブレイドリベリオン
深堀百合香,坂道のアポロン
笹子さん,しろくまカフェ
小野小町,うた恋い。
倉崎楓子/スカイ・レイカー,アクセル・ワールド
大空遥,ダンボール戦機W
馬超孟起,一騎当千
エクレア,FAIRYTAIL(劇場版)
鈴音,ハヤテのごとく!(劇場版)
佐倉花代,君と僕。
供奉院亞里沙,ギルティクラウン
花鹿・ルイーサ・陸深・バーンズワース,花咲ける青少年
ツクモ,カーニヴァル
クローディア・ヴァイスマン,K
アンジェリーク,ネオアンジェリーク
野咲さくら,イナズマイレブンGOギャラクシー
イシガシ・ゴーラム,イナズマイレブンGOギャラクシー
スパンキー（右側）,バスカッシュ!
リサラ・レストール,だから僕は、Hができない。
パンジー,ポケットモンスター
村雨令音,デート・ア・ライブ
エティア・ヴィスコンティ,幻影ヲ駆ケル太陽
大谷桃子,フォトカノ
椿輝澪愛,ユリ熊嵐
コムギ,HUNTER×HUNTER
カミキ・ミライ,ガンダムビルドファイターズトライ
夢咲ティアラ（上）,アイカツ!
渡辺早季（36歳）/ナレーション,新世界より
ヴィクトーリア・ダールグリュン,魔法少女リリカルなのはViVid
姫菜真姫,クビキリサイクル
柊真昼,終わりのセラフ
レンジ,かみさまみならい ヒミツのここたま
滅火,甲鉄城のカバネリ
筧スミレ,BORUTO
シルキー,魔法使いの嫁
桜部優子(電影の魔女),18if
モルガン,Fate/Apocrypha
カトレア・ボードレール,ヴァイオレット・エヴァーガーデン
フレデリカ・グリーンヒル,銀河英雄伝説 Die Neue These
花園莉々香,こみっくがーるず
先輩赤血球,はたらく細胞
剣の乙女,ゴブリンスレイヤー
エリク・ユーゴ,機動戦士ガンダムNT
テンジョウ,スター☆トゥインクルプリキュア
