片瀬志麻,宇宙のステルヴィア
ほろろ,瓶詰妖精
ビュティ,ボボボーボ・ボーボボ
三枝みこ,かみちゅ!
一条さん,ぱにぽにだっしゅ！
近衛木乃香,魔法先生ネギま!シリーズ
びんちょうタン,びんちょうタン
稲森光香,がくえんゆーとぴあ まなびストレート！
邪神たま,ささみさん@がんばらない
風浦可符香,さよなら絶望先生
マンシェリー,ONEPIECE
堀内愛理衣,ムシウタ
伊東ユキノ,RD潜脳調査室
木原麻耶,とらドラ!
嵩月奏,アスラクライン
獅子堂妹子,宇宙をかける少女
森下こよみ,よくわかる現代魔法
椿平子,銀魂
大友ソウリン,戦国乙女桃色パラドックス
藤和女々,電波女と青春男
佐倉杏子,魔法少女まどか☆マギカ
桜木ゆかり,Another
福与恒子,咲-Saki-阿知賀編episode of side-A
伊里野加奈,イリヤの空、UFOの夏
ひいちゃん,波打際のむろみさん
今江恵美,私がモテないのはどう考えてもお前らが悪い!
ティラミー,甘城ブリリアントパーク
町子明,幸腹グラフィティ
チビ美,おそ松さん
魔女ザンビア,ゲゲゲの鬼太郎 第5期
キャンドルちゃん,それいけ!アンパンマン
アミメキリン,けものフレンズ
ハジメちゃん,深夜!天才バカボン
