無道刹那,天使禁猟区
スパーク,ロードス島戦記-英雄騎士伝-
海神航,シスター・プリンセス
ケンタ,ポケットモンスタークリスタルライコウ雷の伝説
深町晶,強殖装甲ガイバー
葛城丈,イノセント・ヴィーナス
ペル,ONEPIECE
岡崎朋也,CLANNAD(劇場版)
村田始,学園戦記ムリョウ
ジェイド,キン肉マンⅡ世
カノン・ヒルベルト,スパイラル～推理の絆～
シャーベット,コロッケ!
ライム,マシュマロ通信
寺尾晃一,OverDrive
吉川寛治,ぼくらの
木場祐斗,ハイスクールD×D
キリウス,輪廻のラグランジェ
龍童パルス,あにゃまる探偵キルミンずぅ
六月ジュン,カードファイト!!ヴァンガード
真崎マサカズ,イヴの時間
美翔和也,ふたりはプリキュアSplash☆Star
七原文人,BLOOD-C
ウォーレンス,探検ドリランド
輝水卿ナガレ,探検ドリランド1000年の真宝
宜野座伸元,PSYCHO-PASS
榛葉道流,SKETDANCE
フェニックス一輝,聖闘士星矢LegendofSanctuary
地場衛／タキシード仮面,美少女戦士セーラームーンCrystal
毛利寿三郎,新テニスの王子様
プリンス・カイエン,レディジュエルペット
黒田雪成,弱虫ペダル
佐条利人,同級生
勝鬨勇雄,遊戯王ARC-V
土間タイヘイ,干物妹!うまるちゃん
桐嶋夏也,ハイ☆スピード!
エズラ・ブリッシャー,STARWARS 反乱者たち
神松,おそ松さん
斉木空助,斉木楠雄のΨ難
イ・スンギル,ユーリ!!!onICE
神代レイ,アイカツ!
面茶やすし,デ・ジ・キャラットにょ
吉良国進,GEAR戦士電童
奥村英二,BANANAFISH
わかば,ケムリクサ
ハーメルン,おとぎ銃士赤ずきん
