ゲイナー・サンガ,OVERMANキングゲイナー
小島航,ガンパレード・オーケストラ
トーマ・H・ノルシュタイン,デジモンセイバーズ
豪炎寺修也,イナズマイレブン
イシドシュウジ,イナズマイレブンGO
スケアクロウマン,スケアクロウマン
エリオット=ナイトレイ,PandoraHearts
北村祐作,とらドラ!
天津影久,無限の住人
シジフォス,聖闘士星矢THE LOST CANVAS 冥王神話
エンリケ＝ビスハイル,戦う司書 The Book of Bantorra
桐木リスト,オオカミさんと七人の仲間たち
コブラージャ,ハートキャッチプリキュア!
司令官ワルズ・ギル,海賊戦隊ゴーカイジャー
レン・クロウラー,爆丸バトルブローラーズガンダリアンインベーダーズ
車田剛一,イナズマイレブンGO
エイナム,イナズマイレブンGOクロノ・ストーン
池速人,灼眼のシャナ
真名部陣一郎, イナズマイレブンGOギャラクシー
蒙恬, キングダム
デンジ, ポケットモンスターDP
伊月俊,黒子のバスケ
テツヤ2号,黒子のバスケ
コルト,HUNTER×HUNTER(2011年版)
石蕗正晴,ななついろ★ドロップス
高柳一条,RDG
早乙女矢三郎,マクロスF
ファントム/ファンファン,ハピネスチャージプリキュア!
ザクロ,ポケットモンスターXY
村上鋼,ワールドトリガー
星村潤一郎,絶園のテンペスト
巴形薙刀,刀剣乱舞
"",""
