四季カケル,青いブリンク＊1
アシュラ,アシュラ
ラスカル,あらいぐまラスカル
風大左衛門,いなかっぺ大将
上杉鉄兵,おれは鉄兵
怪物太郎,怪物くん（1980年版）
ムサシ,からくり剣豪伝ムサシロード
ガンバ,ガンバの冒険
星野鉄郎,銀河鉄道999
ケンツ・ノートン,銀河漂流バイファム
鬼太郎,ゲゲゲの鬼太郎（第1期、第2期）/墓場鬼太郎
目玉おやじ,ゲゲゲの鬼太郎（第6期）
オララ,ケロロ軍曹
エステバン,太陽の子エステバン＊2
日ノ丸四駆郎,ダッシュ!四駆郎
三平三平,釣りキチ三平
ギルモン,デジモンテイマーズ
デュークモン,デジモンテイマーズ
ひろし,ど根性ガエル
ドラえもん（2代目）,ドラえもん（日テレ版）
孫悟空,ドラゴンボールシリーズ
孫悟天,ドラゴンボールシリーズ
孫悟飯,ドラゴンボールシリーズ
バーダック,ドラゴンボールシリーズ
ターレス,ドラゴンボールZ 地球まるごと超決戦
ゴクウブラック,ドラゴンボール超
えん魔くん,ドロロンえん魔くん
ロペット,超電磁ロボコン・バトラーV
エレキッド,ピカチュウたんけんたい
ピコリーノ,ピノキオより ピコリーノの冒険
ビリ犬,ビリ犬
ブラックノーズ,ブラックノーズと魔法の歌
悪夢獣(個体),プリキュアオールスターズNewStage3
マサムネ,ポケットモンスター アドバンスジェネレーション
ヒスイ,劇場版ポケットモンスター みんなの物語＊3
ポロン,星の子ポロン
Dr.くれは,ONE PIECE
ミライ,ザンキゼロ
