クレア・ホウジョウ,ID-0
一ノ瀬晴,悪魔のリドル
倉橋陽菜乃,暗殺教室
藤村大河(高校時代),衛宮さんちの今日のごはん
弟子ゼロ号,お願い!アインツベルン相談室
秋篠姫香,俺の彼女と幼なじみが修羅場すぎる
カチューシャ,ガールズ&パンツァー
両儀未那,空の境界 未来福音
アトラ・ミクスタ,機動戦士ガンダム 鉄血のオルフェンズ
冴木まこと,ぎんぎつね
じめ子さん,繰繰れ!コックリさん
テュカ・ルナ・マルソー,GATE 自衛隊彼の地にて、斯く戦えり
天道花憐,ゲーマーズ!
桐山唯,ココロコネクト
琴浦春香,琴浦さん
吉田友紀/メイル・シュトローム,これはゾンビですか?
桐谷雪那,最近、妹のようすがちょっとおかしいんだが。
緑川纈,シドニアの騎士
リーザ・ハイウォーカー,銃皇無尽のファフニール
マリア,純潔のマリア
薙切えりな（二代目）,食戟のソーマ＊1
イカ娘,侵略!イカ娘
ミニイカ娘,侵略!イカ娘
黒ミニイカ娘,侵略!イカ娘 DVD・Blue-Ray第5巻特典映像
巻き毛,人類は衰退しました
エイミー,翠星のガルガンティア
那雪つむぎ,スタミュ-高校星歌劇-
南宮那月,ストライク・ザ・ブラッド
黄瀬やよい/キュアピース,スマイルプリキュア!
葛城,セキレイ
倉敷世羅,Z/X IGNITION
フィルヴィス・シャリア,ソード・オラトリア
空深彼方,ソ・ラ・ノ・ヲ・ト
折原九瑠璃,デュラララ!!
北斗,東京レイヴンズ
ベロニカ,七つの大罪
澄空つばさ,B-PROJECT
水野亜美/セーラーマーキュリー,美少女戦士セーラームーンCrystal
中空知美咲,緋弾のアリア
一希薫子,ブブキ・ブランキ
九条望実,BLEACH
綿雪,Baby Princess 3Dぱらだいす0
おほほ,ヘヴィーオブジェクト
渡辺彩花,僕らはみんな河合荘
渡瀬明日菜（アスナ）,星を追う子ども
グリュンヒルデ・セレニティ,モーレツ宇宙海賊
岡山犬,47都道府犬
東堂刀華,落第騎士の英雄譚
空銀子,りゅうおうのおしごと!
アステリア・リーザマリー・ド・ロシュフォール,輪廻のラグランジェ
多々良,ログ・ホライズン
メル,Lostorage incited WIXOSS
