アカチ,アラタ カンガタリ～革神語～
井吹宗正,イナズマイレブンGO ギャラクシー
エスカ・バメル,劇場版イナズマイレブン 最強軍団オーガ襲来
柊深夜,終わりのセラフ
久我神,かみちゃまかりん
名瀬博臣,境界の彼方
黒瀬桐,CRASH!
高尾和成,黒子のバスケ
ドルイット子爵（アレイスト・チェンバー）,黒執事
椿,SERVAMP -サーヴァンプ-
長谷部豊,サーバント×サービス
加門朔哉,獣装機攻ダンクーガノヴァ＊1
武光震平,SKET DANCE＊2
栄斗,聖闘士星矢Ω
肩のものパール,セイント・ビースト 〜光陰叙事詩天使譚〜
守形英四郎,そらのおとしもの
遠藤豆,だがしかし
ローエン,Dance with Devils
石井努,DEAR BOYS
天井亜雄,とある魔術の禁書目録
吉田春,となりの怪物くん
伊達政宗,殿といっしょ
手塚光,図書館戦争
菅野直,ドリフターズ
バン,七つの大罪
アダム・ミューアヘッド,ノブナガン
坂本雄二,バカとテストと召喚獣
山崎健太,ハピネスチャージプリキュア!
時真慎一郎,BLOOD-C
橘真琴,Free!
秋月紅葉,ブレンド・S
一寸法師,鬼灯の冷徹
ジュン,ポケットモンスター ダイヤモンド&パール
ヴァルカナ,迷家-マヨイガ-＊3
ロックダウン,キュートランスフォーマー
