司狼神威,X
鳴海歩,スパイラル～推理の絆～
紅エイジ,超重神グラヴィオン
真田ハジキ,GAD GUARD
遠野志貴,真月譚月姫
シン・アスカ,機動戦士ガンダムSEEDDESTINY
真中淳平,いちご100%
戎崎裕一,半分の月がのぼる空
岱燈獅麗,獣神演武
赤月知佳,ZOMBIE-LOAN
美柴鴇,BUSGAMER
桐生敦郎,KAIKANフレーズ
若林源三,キャプテン翼(2001年版及び2018年版)
伊角慎一郎,ヒカルの碁
木村輝一,デジモンフロンティア
氷室ヒカル,ドラゴンドライブ
風牙のマヤ(画像左),セイント・ビースト
沢田慎,ごくせん
清八,忍たま乱太郎
常陸院光,桜蘭高校ホスト部
沖田総悟,銀魂
ラビ,D.Gray-man
カペンシス,アラド戦記
右代宮譲治,うみねこのなく頃に
イアル,獣の奏者 エリン
サウラー,フレッシュプリキュア!
ボウ・ツキヒコ,STARDRIVER
カイエン・スズシロ,アクエリオンEVOL
紫原敦,黒子のバスケ
刻,CODE:BREAKER
島大介,宇宙戦艦ヤマト2199
フォイフォイ,戦勇。
早坂相,Wake Up, Girls!
暗闇のザジ,バトルスピリッツ ブレイヴ
ローグ・チェーニ,FAIRYTAIL
ギュスターヴ,イクシオンサーガDT
楽俊,十二国記
夏黄文,マギ
田中ヨシタケ,男子高校生の日常
御子柴百太郎,Free!-Eternal Summer-
キリク・ルング,ソウルイーター
ツワブキ・ダイゴ（2代目）,ポケットモンスターXY特別編
ダンナ,旦那が何を言っているかわからない件
クローリー・ユースフォード,終わりのセラフ
イヤミ,おそ松さん
銀朱,あまつき
明恵,京騒戯画
ディートリッヒ・フォン・ローエングリューン,トリニティ・ブラッド
アマラ,キャプテン・アース
ハンス・ハンプティ,六花の勇者
マット,パラッパラッパー
アトリ,ノエイン
スバル,GEAR戦士電童
朱雀,少年陰陽師
アッシュ・ローラー,アクセル・ワールド
若本真吾,監獄学園
ロマニ・アーキマン,Fate/GrandOrder
弥勒寺優夜,Re:CREATORS
芹沢春輝,告白実行委員会
ヤン・ウェンリー,銀河英雄伝説 Die Neue These
ウタカタ,NARUTO疾風伝
スケア,NARUTO疾風伝
黒澤遥人,COPPELION
スーパーマン,DCスーパーヒーローズVS鷹の爪団
破裏拳ポリマー／鎧武士,Infini-TForce
比良裏,曇天に笑う
キジマ・ウィルフリッド,ガンダムビルドファイターズトライ
一宮旭,はんだくん
アンチ,SSSS.GRIDMAN
