高須竜児,とらドラ!
相川歩,これはゾンビですか?
遠山キンジ,緋弾のアリア
大神ソウマ,神無月の巫女
青木大介,こどものじかん
二階堂悠,しゅごキャラ!
宮岸徹,花咲くいろは
六方悟,ロックマンエグゼBEAST+
鴉天狗,ぬらりひょんの孫
堂郷和太郎,たまゆら～hitotose～
赤城浩平,俺の妹がこんなに可愛いわけがない
テレス・トルーエ,イナズマイレブン
バームクーガー,どーにゃつ
ブレード,ゾイドフューザーズ
センスイマル,参乗合体トランスフォーマーGo!
プロデューサー,ぷちます!
路万健康,宙のまにまに
石塚弘（※画像左）,ガンパレード・オーケストラ
神前夕哉,最近、妹のようすがちょっとおかしいんだが。
トール・アキュラ,棺姫のチャイカ
千葉龍之介,暗殺教室
笹谷武仁,ハイキュー!!
来留主公人,モンスター娘のいる日常
百黄半蔵,バトルスピリッツ烈火魂
うしこうさん（※画像下）,いとしのムーコ（テレビ東京版）
サム,うみものがたり
諏訪部イツキ,カードファイト!!ヴァンガード
二代目,有頂天家族2
ラン,アカメが斬る!
メローネ,ジョジョの奇妙な冒険 黄金の風
ハンス,パンプキン・シザーズ
洞口雄大,モンキーターン
松岡先生,黒魔女さんが通る!!
ソーヤー,FAIRY TAIL
クロコ,魔法陣グルグル(2000年)
幸谷大吾郎,迷い猫オーバーラン!
筧京太郎,大図書館の羊飼い
墨田壮(左),Lostorage incited WIXOSS
辰巳だいすけ(右),キラキラ☆プリキュアアラモード
