土井半助,忍たま乱太郎
うみのイルカ,NARUTO
ブリード加賀,新世紀GPXサイバーフォーミュラ
ヒッテル,覇王大系リューナイト
ムース,らんま1/2
カル=ス,BASTARD!!
玄奘三蔵,最遊記シリーズ
金蝉童子,最遊記外伝
仰木高耶,炎の蜃気楼
デュオ・マックスウェル,新機動戦記ガンダムW
ラウ・ル・クルーゼ,機動戦士ガンダムSEED
レイ・ザ・バレル,機動戦士ガンダムSEEDDESTINY
フェンリル,聖闘士星矢
蠍座のミロ(2代目),聖闘士星矢
教皇セージ,聖闘士星矢 THE LOST CANVAS 冥王神話
亘理温,闇の末裔
くろボン,Bビーダマン爆外伝
レガート・ブルーサマーズ,トライガン
紅虎,SAMURAIDEEPERKYO
山岡百介,巷説百物語
シュダ,RAVE
ル・バラバ・ドム,無責任艦長タイラー
JJ,赤い光弾ジリオン
赤木軍馬,F
日高秋亜人,天空戦記シュラト
ドン・ディエゴ・ベガ,快傑ゾロ
デュウ,白鯨伝説
D,PetshopofHorrors
スロットル,バイカーマイス
ウイング,HUNTER×HUNTER（2011年版）
アレイスター=クロウリー,とある魔術の禁書目録
松田耕作,YAWARA!
星空博司,スマイルプリキュア!
伊東真也,宇宙戦艦ヤマト2199
デュバル,ONEPIECE
秋津マサト/木原マサキ,冥王計画ゼオライマー
ゲキソウマル,参乗合体トランスフォーマーGo!
鮮血,キルラキル
時縞ソウイチ,革命機ヴァルヴレイヴ
エンブリヲ,クロスアンジュ天使と竜の輪舞
志波海燕,BLEACH
アーロニーロ・アルルエリ,BLEACH
星威岳哀牙,逆転裁判3
