ドモン・カッシュ,機動武闘伝Gガンダム
イザーク・ジュール,機動戦士ガンダムSEED
バァン・ファーネル,天空のエスカフローネ
鈴原トウジ,新世紀エヴァンゲリオン
ケンジ,ポケットモンスター
骨川スネ夫,ドラえもん※3代目
ギルガメッシュ,Fateシリーズ
キカイダー,人造人間キカイダー THE ANIMATION/レッツゴー仮面ライダー
宮田一郎,はじめの一歩
ミッキー・サイモン,エリア88
相良宗介,フルメタル・パニック!
ハル・グローリー,RAVE
大空翼,キャプテン翼※2001年版青年期
高橋啓介,頭文字D
紫劉輝,彩雲国物語
ジョー,ビューティフルジョー
アニメ版マーズ,神世紀伝マーズ
浅葱留美奈,東京アンダーグラウンド
白浜兼一,史上最強の弟子ケンイチ
木之本桃矢,カードキャプターさくら
草摩夾,フルーツバスケット
尾瀬イクミ,無限のリヴァイアス
乙女座のフドウ,聖闘士星矢Ω
アンドレアス、ロキ,聖闘士星矢 黄金魂
千秋真一,のだめカンタービレ
安形惣司郎,SKETDANCE
東条英虎,べるぜバブ
達海猛,GIANTKILLING
比泉円神/七海ギン,夜桜四重奏〜ヨザクラカルテット〜
井宿,ふしぎ遊戯
グラム・リバー,絢爛舞踏祭 ザ・マーズ・デイブレイク
高柳雅孝,天上天下
森丘銀影,ロザリオとバンパイア
メップル,ふたりはプリキュア
サンゾウ,アソボット戦記五九
影山零士,ゲートキーパーズ
劉備,蒼天航路
橘一,夢使い
アシュトン・アンカース,スターオーシャンEX
ツネ次郎,忍ペンまん丸
双葉恋太郎,双恋
天地龍牙,デュエル・マスターズ クロス
飛鷹健,ヴァイスクロイツ
草彅静馬,召喚教師リアルバウトハイスクール
リーダー,モンハン日記ぎりぎりアイルー村
狡噛慎也,PSYCHO-PASS
マイクマン関,超速変形ジャイロゼッター
ガルシャア・ウルフェイン,イナズマイレブンGOクロノ・ストーン
ギガ,ボボボーボ・ボーボボ
トキ,DD北斗の拳
アミバ,DD北斗の拳
ロブ・ルッチ,ONEPIECE
天才マン,とっても!ラッキーマン
待宮栄吉,弱虫ペダル
ストライカー,GANGSTA.
佐久間中尉,ジョーカー・ゲーム
双六一,ナンバカ
龍造寺淳平,エルフを狩るモノたち
レン・フウマ,影技 SHADOW SKILL
与太郎,昭和元禄落語心中
ソード,牙狼-VANISHING LINE-
ガッチャマン / 鷲尾健,Infini-T Force　
くわばらぽてち,荒川アンダーザブリッジ
ブランドン・ヒート,GUNGRAVE
火渡赤馬,武装錬金
ムーンフェイス,武装錬金
柳幻殃斉,モノノ怪
万次,無限の住人
犬童かおる,DAYS
ヒューリー博士,妖怪ウォッチ(画像左)
戦場マルコ,未来日記
島亮介,エリアの騎士
アリシエ,金色のガッシュ!!
辰伶,SAMURAI DEEPER KYO
薪剛,秘密―トップ・シークレット―
森可成,信長の忍び
ギャラガー,ゾイドワイルド
キバオウ,ソードアート・オンライン
