ウッソ・エヴィン,機動戦士Vガンダム
志村新八,銀魂
レオナルド・ウォッチ,血界戦線
トマホークマン,ロックマンエグゼ
山崎薫,NHKにようこそ!
立花ユズヒコ,あたしンちシリーズ
太乙真人,仙界伝 封神演義
藤巻駿,ガンバリスト駿
少年バット,妄想代理人
中田勇次,バンブーブレード
和久隆,ぼくらの
沢木惣右衛門直保,もやしもん
富士原幸助,仮面のメイドガイ
硯秀斗,バトルスピリッツ 少年激覇ダン/バトルスピリッツ ブレイヴ
福部里志,氷菓
キッシュ,東京ミュウミュウ
ポップ,スマイルプリキュア
ピロシキ,コロッケ!
鳩ヶ谷ヨシりん,クレヨンしんちゃん
ポートガス・D・エース※少年期,ONE PIECE
ブタ田ヒカル,学級王ヤマザキ
森崎有三,キャプテン翼J
ゼノ,ワールドトリガー
ジャグジー・スプロット,BACCANO!
ハーレイ・サットン,鋼殻のレギオス
真庭蝶々,刀語
ユーリ・ジーベン,戦勇。
七梨太助,まもって守護月天!
ロアン,RAGNAROK
スオウ,バトルスピリッツソードアイズ
魂館颯太,ギルティクラウン
ハックモン,デジモンユニバースアプリモンスターズ
マックス・ハートウェイ※画像右,機動戦士ガンダムAGE
はみがきまん(2代目),それいけ!アンパンマン
倉田翼（エルネスティ・エチェバルリア）,ナイツ&マジック
小次郎,ゲゲゲの鬼太郎（六期）
