ラン,しゅごキャラ!
ゆの,ひだまりスケッチ
入江みゆき,AngelBeats!
小阪ちひろ,神のみぞ知るセカイ
種島ぽぷら,WORKING!!
塙かおる,たまゆら
ユキカゼ・パネトーネ,DOGDAYS
春音あいら,プリティーリズム・オーロラドリーム
北原美桜,あの夏で待ってる
ニャル子,這いよれ!ニャル子さん
神足ユウ/ストレングス,ブラック★ロックシューター
戸田山響子,えびてん公立海老栖川高校天悶部
キヤル・バチカ,天元突破グレンラガン
宇白可奈(カナ),ぼくらの
夢野杏,ARIA
平川ナツミ,今日の5の2
佐橋ユカリ,セキレイ
茅野めぐみ,ペルソナ〜トリニティ・ソウル〜
マリン,うみものがたり
近堂水琴,けんぷファー
風斬氷華,とある魔術の禁書目録
狩野さくら,とらドラ!
日比野文,ハヤテのごとく!
砂戸静香,えむえむっ!
ほのか,会長はメイド様!
巻紗織,ぬらりひょんの孫
イサドーラ・フィンスドッティル,アスタロッテのおもちゃ!
鳴海ナクル,まよチキ!
リリアーヌ,ヨルムンガンド
アガシャ,聖闘士星矢 THE LOST CANVAS 冥王神話
古菲,魔法先生ネギま!(OVA)
奥山有菜,堀さんと宮村くん
アン,武装神姫
月読鎖々美,ささみさん@がんばらない
メルティ,翠星のガルガンティア
倉上ひなた,ヤマノススメ
伴亜衣梨※,DEVIL SURVIVOR2 THE ANIMATION
百江なぎさ,魔法少女まどか☆マギカ 叛逆の物語
越谷小鞠,のんのんびより
時子,まんたま
橘万里花,ニセコイ
シャンテ・アピニオン,魔法少女リリカルなのはVivid
フレイ,機巧少女は傷つかない
エネ / 榎本貴音,メカクシティアクターズ
石原浪花,僕の妹は「大阪おかん」
那雪ゆうき（左側）,スタミュ
氷尾凍子,ウィッチクラフトワークス
召喚寺菊乃,彼女がフラグをおられたら
壱級天災,龍ヶ嬢七々々の埋蔵金
沼地蠟花,花物語
トト,マギ
鏑木美波,ハイスクール・フリート
カーニバル,Lostorage incited WIXOSS
サクラ,映画プリキュアドリームスターズ!
