ヤモト・コキ,ニンジャスレイヤー
毒空木美也子,四百二十連敗ガール
藤宮香織,一週間フレンズ。
光井ほのか,魔法科高校の劣等生
ジン・ハズキ,ブレイドアンドソウル
霧嶋董香,東京喰種
アカメ,アカメが斬る!
エリザベス,七つの大罪
成木野みかたん,パンチライン
アセイラム・ヴァース・アリューシア,アルドノア・ゼロ
アイラ,プラスティック・メモリーズ
叶美奈子,電波教師
万由里,デート・ア・ライブ
ミーア,モンスター娘のいる日常
白崎イリス,Classroom☆Crisis
仁藤菜月,心が叫びたがってるんだ。
アクア,この素晴らしい世界に祝福を!
ユカリ,ディバインゲート
知名もえか,ハイスクール・フリート
鎌倉志保,WWW.WORKING!!
エリス,文豪ストレイドッグス
づる,BLAME!
鹿屋瑠偉,Re:CREATORS
ソニア,パズドラクロス
ゾフィー,終末のイゼッタ
成海聖奈,告白実行委員会
三原フタバ,新幹線変形ロボ_シンカリオン_THE_ANIMATION
クルシュ・ルールー,オーバーロード
宇崎瞳,キリングバイツ
メトーデ,BEATLESS
時秒,兄に付ける薬はない!
久石奏,響け!ユーフォニアム
