リュウ・ホセイ,機動戦士ガンダム
ハート様,北斗の拳
フドウ,北斗の拳
人造人間8号,ドラゴンボール
ナッパ,ドラゴンボールZ
雷電,魁!!男塾
稗田八方斎,忍たま乱太郎
煙鬼,幽☆遊☆白書
飯富昌虎,みどりのマキバオー
フリンチ,ルパン三世ルパンVS複製人間
レストレード警部(画像右),名探偵ホームズ
暗黒大将軍,マジンカイザー対暗黒大将軍
バラガン・ルイゼンバーン,BLEACH
光明寺博士、ハカイダー＊1,人造人間キカイダー
鴨川源二（2代目）＊2,はじめの一歩
ゲンジ,ポケットモンスターアドバンスジェネレーション
ジャンバ博士,リロ・アンド・スティッチ
ダゴモン,デジモンクロスウォーズ～時を駆ける少年ハンターたち～
ダルシム,ストリートファイター（アニメ版）
霞仙左右衛門,カスミン
ダイノガイスト,勇者エクスカイザー
カール・フレドリクセン,カールじいさんの空飛ぶ家
ガンガー,アストロガンガー
バーバーマン,Dr.スランプ アラレちゃん
丸井善男,ミスター味っ子
ドアクダー,魔神英雄伝ワタル
雲外鏡,うしおととら
ルイ・ジャンギャル,超電磁マシーンボルテスV
ひょっとこ,るろうに剣心
立花源也(画像左),千年女優
