フェルト・グレイス,機動戦士ガンダム00
デシル・ガレット,機動戦士ガンダムAGE（第1部）
マニィ・アンバサダ,Gのレコンギスタ
アルテラ,地球へ…
ジャスミン,デルトラクエスト
河合ツバサ,今日の5の2
石動乃絵,true tears
雪谷花梨,ネットゴーストPiPoPa
スイレン/マイサンシャイン,バトルスピリッツ 少年突破バシン
五月田根美香子,そらのおとしもの
アレスタ・ブランケット,ファイト一発!充電ちゃん!!
アイン/江漣,Phantom ～Requiem for the Phantom～
狩沢絵理華,デュラララ!!
フェリス・エリス,伝説の勇者の伝説
柊,はなまる幼稚園
丸井みつば,みつどもえ
クロ,青の祓魔師
枕木夕楽々,猫神やおよろず
大森寧々,べるぜバブ
立凪タクト,カードファイト!!ヴァンガード
雪音クリス,戦姫絶唱シンフォギア
リズベット/篠崎里香,ソードアートオンライン
坂井和奏,TARITARI
水越紗季,夏色キセキ
シャーレイ,Fate/Zero
モグリュー,劇場版ポケットモンスター ベストウイッシュ
日高八雲,マリッジロワイヤル
ニーナ・アントーク,鋼殻のレギオス
名橋ルチア,VenusVersusVirus
ドール,黒執事
村雨純夏,ささめきこと
水瀬文奈,聖痕のクェイサー
浜路,八犬伝-東方八犬異聞-
コトハ,アラタカンガタリ
五位堂結,神のみぞ知るセカイ
稲田多摩子,銀の匙
ミュロン・アレキウス,マギ
蛍ルミネラ,ガイストクラッシャー
ヘンリエッタ,ログ・ホライズン
朝倉音姫,D.C.Ⅱ ～ダ・カーポⅡ～
マライヤ,ジョジョの奇妙な冒険 スターダストクルセイダース(アニメ版)
ラリマー,ジュエルペットシリーズ
ファリーヌ,DOGDAYS※画像ほぼ左半分
古畑恵,まじっく快斗1412※画像中央
大浦可奈子,さよなら絶望先生
黒神ダイナ,ベイブレードバースト
ジェード,宝石の国
雨音弥生,装神少女まとい
タダクニ妹,男子高校生の日常
杜綱純,うしおととら（TVアニメ版）
藤原禅子,不機嫌なモノノケ庵
デリエリ,七つの大罪
藤堂早紀,宇宙戦艦ヤマト2202
館林水奈,夜桜四重奏
イトリ,東京喰種
