味吉陽一,ミスター味っ子
天道なびき,らんま1/2
石川舞,ツヨシしっかりしなさい
軀,幽遊白書
鉄刃,剣勇伝説YAIBA
猪名寺乱太郎,忍たま乱太郎
マイク次郎,カラオケ戦士マイク次郎
アスコット,魔法騎士レイアース
ディランドゥ・アルバタウ,天空のエスカフローネ
江戸川コナン,名探偵コナン
山本洋子,それゆけ!宇宙戦艦ヤマモト・ヨーコ
ヒロシ,ポケットモンスター
マシュラ,マシュランボー
ハオ/麻倉葉王,シャーマンキング
ナックルジョー,星のカービィ
真魚,人魚の森
フォンカーベルニコフ卿アニシナ,今日からマ王!
ドルモン,DIGITAL_MONSTER_X-evolution
南條キサラ,史上最強の弟子ケンイチ
イレーネ,CLAYMORE
鬼太郎,ゲゲゲの鬼太郎(5期)
アヤ・エイジア,魔人探偵脳噛ネウロ
カティ・マネキン,機動戦士ガンダム00
笹本先生,GA芸術科アートデザインクラス
エンヴィー,鋼の錬金術師 FULLMETAL ALCHEMIST
工藤タイキ,デジモンクロスウォーズ
ダークプリキュア,ハートキャッチプリキュア
ルーク,ポケットモンスター ベストウイッシュ
天羽奏,戦姫絶唱シンフォギア
ムーミン・トロール,楽しいムーミン一家
椎名裕介,地獄堂霊界通信(OVA)
ニーナ・ウィリアムズ,鉄拳(OVA)
ピーコ(右側),チロリン村物語
シーリス,ロードス島戦記
キキ、ウルスラ,魔女の宅急便
魅音,アソボット戦記五九
ヨンファ(右側),プリティーリズム・ディアマイフューチャー
涼野結,プリティーリズム・レインボーライブ
ビアンカ,AIKa
童帝,ワンパンマン
藤沼佐知子,僕だけがいない街
高坂先生,耳をすませば
アニタ,D.Gray-man
ちびごん,それいけ!アンパンマン<劇場版第3作>
女性シンガー,ラブライブ!The School Idol Movie
フィーナ,イース(OVA)
