聖フェニックス,ビックリマン
ヘッドロココ,ビックリマン
アンドロココ,ビックリマン
アルテミス,美少女戦士セーラームーン
シャルナーク,HUNTER×HUNTER※フジテレビ版
グラトニー,鋼の錬金術師※2003年版
エレキモン,デジモンアドベンチャー
カズイ・バスカーク,機動戦士ガンダムSEED
オトロ・バンダ,機動戦士ガンダムAGE
ビョンコ,金色のガッシュベル!!
赤井リンスケ,BLACK_BLOOD_BROTHERS
スミロドン・ドーパント,仮面ライダーW
グルド,ドラゴンボール改
ロシア（イヴァン・ブラギンスキ）,Axis powers ヘタリア
エドワード,きかんしゃトーマス※フジテレビ版
古寺章平,ワールドトリガー
ヤモー,魔法使いプリキュア!
根津校長,僕のヒーローアカデミア
長靴をはいたニャース,ポケットモンスター アドバンスジェネレーション
キットン,フォーチュン・クエスト
サタンラブモス,ウルトラマンダイナ
ウニトローダ,ウルトラQ darkfantasy
さるお,劇場版どうぶつの森※画像左
田中,行け!稲中卓球部
サイコジェニー,DEVILMAN crybaby
ロメロ,ゾンビランドサガ
