ガロード・ラン,機動新世紀ガンダムX
高木刑事,名探偵コナン
鬼塚英吉,GTO
小嶋元太,名探偵コナン
チータス,ビーストウォーズ
平滝夜叉丸,忍たま乱太郎
ヴァルガーヴ,スレイヤーズTRY
先生,ドラえもんテレビ朝日二期
ガルイース・エリッド,女神候補生
スエゾー,モンスターファーム
青木勝,はじめの一歩
ねずみ男,ゲゲゲの鬼太郎 第五期
トビ（うちはオビト）,NARUTO疾風伝
蘇我源造,天使な小生意気
ブンビー,Yes!プリキュア5
ハリー・チャンプ,ゾイド新世紀スラッシュゼロ
海堂忍武,超者ライディーン
健二,頭文字D
ゾンゲ,トリコ
チェリー大佐,銀魂
ナックル=バイン,HUNTER×HUNTER日本テレビ版
ラルゴ(画像左),ONE PIECE
ベラミー,ONE PIECE
バンダー・デッケン九世,ONE PIECE
アランドロン,べるぜバブ
スケアリー・スクワエル,びっくりスケアリー
ルベウス,美少女戦士セーラームーンR
ダフィー・ダック（２代目）,ルーニー・テューンズ
じぐ蔵,おそ松さん
矢木圭次,闘牌伝説アカギ
ガーフィールド,ガーフィールド・ショー
ガルフォード,サムライスピリッツ-破天降魔の章-
ダンチ,哲也-雀聖と呼ばれた男-
アバドン,真・女神転生デビルチルドレン
ザ・サンダンス・キッド,ドリフターズ
どろんこ魔王,それいけ!アンパンマン
ピピ美,ポプテピピック ※第10話Bパート、ニンジャバットマンコラボ映像
ゼペット（２代目）,ピノキオ ※故・熊倉一雄の後任。
スパーキー,リロ・アンド・スティッチ
ピーターパン,ピーターパン ※ディズニーと歌おう ユーロ・ディズニーランドのみ代役
白山坊,ゲゲゲの鬼太郎（6期）
