桜あかり,ジュエルペットてぃんくる☆
崎守咲,あっちこっち
見崎鳴,Another
古塚梢,咲-Saki-阿知賀編episode of side-A
深山れいな,プリティーリズム・ディアマイフューチャー
サーシャ・ステイプル,モーレツ宇宙海賊
ニッカ・エドワーディン・カタヤイネン,ストライクウィッチーズ(映画)/ブレイブウィッチーズ
すばる,放課後のプレアデス
コミッサちゃん,PSYCHO-PASS
上井草美咲,さくら荘のペットな彼女
エラリー姫百合,ふたりはミルキィホームズ
御代アオナ,クロスファイトビーダマンeS
斉藤さん,ローゼンメイデン
ソーナ・シトリー,ハイスクールD×D
土呂小夏,ゴクジョッ。
ひおたん,デンキ街の本屋さん
ハルリリ,まじもじるるも
伴藤美衣乃,甘城ブリリアントパーク
少年承太郎,ジョジョの奇妙な冒険 スターダストクルセイダース
円城寺結衣,てさぐれ!部活ものすぴんおふ プルプルんシャルムと遊ぼう
ローズヒップ,ガールズ&パンツァー劇場版
ラム,ガールズ&パンツァー 最終章
柳原麻侖,ハイスクール・フリート
宮野,田中くんはいつもけだるげ
星野鳴,夢喰いメリー
緋月綾奈,カガクなヤツら
大崎菖蒲,アニメガタリズ
神倉冬音,南鎌倉高校女子自転車部
パトリシア・オブ・エンド,ノラと皇女と野良猫ハート
京橋万博,ひなろじ
プリシラ・ファルネーゼ,グランクレスト戦記
雪本柚子,すのはら荘の管理人さん
上杉らいは,五等分の花嫁
