竜崎桜乃,テニスの王子様
天道琉朱菜,グレネーダー ～ほほえみの閃士～
エイミー,爆裂天使
クロノ・ハラオウン（少年期）,魔法少女リリカルなのはシリーズ
キャロ・ル・ルシエ,魔法少女リリカルなのはStrikerS
レヴェリー=メザーランス,エレメンタルジェレイド
山田あゆみ,ハチミツとクローバー
定春,銀魂
寺門通,銀魂
ロードレアモン,シムーン
天野鈴鈴羽,フューチャーカードバディファイト
モンモランシー,ゼロの使い魔
秋庭里香,半分の月がのぼる空
ロザリー・クローデル,舞-乙HIME
鷹栖絢子,護くんに女神の祝福を!
まち,ながされて藍蘭島
西沢歩,ハヤテのごとく!
アディリシア・レン・メイザース,レンタルマギカ
ノワ,クイーンズブレイド
セィミヤ,獣の奏者エリン
北条國子,シャングリ・ラ
地蔵亜美,オオカミさんと七人の仲間たち
ノア・エン,伝説の勇者の伝説
レベッカ・アンダーソン,DOGDAYS
如月ミカ,バトルスピリッツ覇王
星伽白雪,緋弾のアリア
斬島切彦,紅kure-nai(OVA)
八木沢まい,鉄道むすめ
横山みつ子,監獄学園
パチュリー・ノーレッジ,東方Project(夢想夏郷)
小山柚子,ガールズ&パンツァー
白鳥詩織,ガールフレンド(仮)
水上桜,ディーふらぐ!
姫宮瑠璃,魔人探偵脳噛ネウロ
仙都木阿夜,ストライク・ザ・ブラッド
汐見潤,食戟のソーマ
