アンディ・W・ホール,アクエリオンEVOL
協会さん,アクティヴレイド
叶爽太郎,会長はメイド様!
キャプテン・アッシュ,機動戦士ガンダムAGE
名瀬・タービン,機動戦士ガンダム鉄血のオルフェンズ
東晃一,君と僕。
緒方柚樹,キューティクル探偵因幡
ジュリアーノ・ヴィスコンティ,銀河機攻隊マジェスティックプリンス
ショパン,クラシカロイド
若松孝輔,黒子のバスケ
ジュリオ・飛鳥・ミスルギ,クロスアンジュ 天使と竜の輪舞
森永哲博,恋する暴君(OVA)
断罪兄弟・弟,十二大戦
宇佐見春彦,純情ロマンチカ
グイード・ミスタ,ジョジョの奇妙な冒険 黄金の風
楪=クリスチアン=リオン,スタミュ
陽炎のシヴァ,セイント・ビースト
ヤス/アジーン,世界征服～謀略のズヴィズダー～
河野豊,DARKER THAN BLACK -黒の契約者-
睦月始,ツキウタ。
リク=ハイゼンベルク,デ・ジ・キャラット
千石清純,テニスの王子様
建宮斎字,とある魔術の禁書目録
ヴァレリア・カルバドス,DOG DAYS´
マッチ,トリコ
風見瞬,トワノクオン
うろこ様,凪のあすから
犬塚キバ,NARUTO
黒田坊,ぬらりひょんの孫
申公豹,覇穹 封神演義
荒崎キョウスケ,爆球Hit! クラッシュビーダマン
神無左京之介,幕末機関説いろはにほへと
甲賀弦之介,バジリスク〜甲賀忍法帖〜
セレウス菌,はたらく細胞
シンタロー,PAPUWA
冴木氷室,ハヤテのごとく!
ゴレイヌ,HUNTER×HUNTER(GI編OVA)
ギルバート=ナイトレイ,PandoraHearts
藤堂平助,PEACE MAKER鐵
夜叉丸朔太郎,B-PROJECT
ネフライト,美少女戦士セーラームーンCrystal
ザエルアポロ・グランツ,BLEACH
ジルグ,ブレイクブレイド
烏頭,鬼灯の冷徹
ピピ美,ポプテピピック ※第7話Bパート
ジル・ド・レイ,魔界王子
石垣筍,魔人探偵脳噛ネウロ
今泉俊輔,弱虫ペダル
榊研一郎,WWW.WORKING!!
