エレン・イェーガー,梶裕貴
ミカサ・アッカーマン,石川由依
アルミン・アルレルト,井上麻里奈
ライナー・ブラウン,細谷佳正
ベルトルト・フーバー,橋詰知久
アニ・レオンハート,嶋村侑
ジャン・キルシュタイン,谷山紀章
マルコ・ボット,逢坂良太
コニー・スプリンガー,下野紘
サシャ・ブラウス,小林ゆう
クリスタ・レンズ,三上枝織
ユミル,藤田咲
トーマス・ワグナー,須嵜成幸
ミーナ・カロライナ,安済知佳
フランツ・ケフカ,大隈健太
ハンナ・ディアマント,佐藤恵
ダズ,田久保修平
エルヴィン・スミス,小野大輔
リヴァイ,神谷浩史
ハンジ・ゾエ,朴璐美
ミケ・ザカリアス,三宅健太
ペトラ・ラル,相川奈都姫
オルオ・ボザド,川田紳司
エルド・ジン,千葉進歩
グンタ・シュルツ,三戸耕三
モブリット・バーナー,西凛太朗
ディータ・ネス,坂口候一
ルーク・シス,北田理道
トーマ,竹内良太
ケイジ,松田修平
ナナバ,下田麻美
ゲルガー,加瀬康之
リーネ,清水理沙
ヘニング,中川慶一
ニファ,千本木彩花
イルゼ・ラングナー,國立幸
イザベル・マグノリア,平田真菜
イザベル・マグノリア,伊瀬茉莉也
ファーラン・チャーチ,小野友樹
ファーラン・チャーチ,遊佐浩二
ハンネス,藤原啓治
ハンネス,津田健次郎
ドット・ピクシス,田中正彦
イアン・ディートリッヒ,村上裕哉
キッツ・ヴェールマン,志村知幸
リコ・ブレツェンスカ,鷄冠井美智子
ミタビ・ヤルナッハ,星野貴紀
アンカ・ラインベルガー,葉山いくみ
グスタフ,四宮豪
ナイル・ドーク,勝杏里
ケニー・アッカーマン,山路和弘
トラウテ・カーフェン,寺依沙織
マルロ・フロイデンベルク,杉田智和
ヒッチ・ドリス,渡辺明乃
グリシャ・イェーガー,土田大
カルラ・イェーガー,鷹森淑乃
キース・シャーディス,最上嗣生
ニック司祭,麻生智久
ダリス・ザックレー,手塚秀彰
フリーダ・レイス,日笠陽子
ウーリ・レイス,古川登志夫
ジーク・イェーガー,子安武人
